thresh,biocontrol,type,period,rep,pdoug,avg_pop
0.2,5,100% multi-capsid morphotype,2,3,18,2.8458975228099685
0.2,5,100% multi-capsid morphotype,2,4,18,2.922834597973706
0.2,5,100% multi-capsid morphotype,2,5,18,3.3852641397827163
0.2,5,100% multi-capsid morphotype,2,6,18,3.070383268660333
0.2,5,100% multi-capsid morphotype,2,7,18,3.1025791684191066
0.2,5,100% multi-capsid morphotype,2,8,18,3.383115414945915
0.2,5,100% multi-capsid morphotype,2,9,18,2.36169850359079
0.2,5,100% multi-capsid morphotype,2,10,18,2.8279488135607207
0.2,5,100% multi-capsid morphotype,2,11,18,2.8817571376607827
0.2,5,100% multi-capsid morphotype,2,12,18,3.826378490701112
0.2,5,100% multi-capsid morphotype,2,13,18,3.3448205374227595
0.2,5,100% multi-capsid morphotype,2,14,18,2.557999800833772
0.2,5,100% multi-capsid morphotype,2,15,18,2.1106761839640225
0.2,5,100% multi-capsid morphotype,2,16,18,3.6335526303638304
0.2,5,100% multi-capsid morphotype,2,17,18,3.268759442802684
0.2,5,100% multi-capsid morphotype,2,18,18,3.334675507771979
0.2,5,100% multi-capsid morphotype,2,19,18,3.4091138896761346
0.2,5,100% multi-capsid morphotype,2,20,18,2.5056737191494882
0.2,5,100% multi-capsid morphotype,3,1,18,3.204957455250688
0.2,5,100% multi-capsid morphotype,3,2,18,2.866210257093977
0.2,5,100% multi-capsid morphotype,3,3,18,4.3768601954214255
0.2,5,100% multi-capsid morphotype,3,4,18,3.259673075203723
0.2,5,100% multi-capsid morphotype,3,5,18,3.1321785601206735
0.2,5,100% multi-capsid morphotype,3,6,18,5.136929826087734
0.2,5,100% multi-capsid morphotype,3,7,18,3.309450696585529
0.2,5,100% multi-capsid morphotype,3,8,18,4.688268859691712
0.2,5,100% multi-capsid morphotype,3,9,18,3.611698141216994
0.2,5,100% multi-capsid morphotype,3,10,18,3.136443022690682
0.2,5,100% multi-capsid morphotype,3,11,18,3.1492224891447615
0.2,5,100% multi-capsid morphotype,3,12,18,3.229086371668945
0.2,5,100% multi-capsid morphotype,3,13,18,3.6756903233763816
0.2,5,100% multi-capsid morphotype,3,14,18,3.485434278721635
0.2,5,100% multi-capsid morphotype,3,15,18,2.2717370678130355
0.2,5,100% multi-capsid morphotype,3,16,18,3.8014633279899854
0.2,5,100% multi-capsid morphotype,3,17,18,3.1676339493187258
0.2,5,100% multi-capsid morphotype,3,18,18,4.163064586486698
0.2,5,100% multi-capsid morphotype,3,19,18,3.710462006494181
0.2,5,100% multi-capsid morphotype,3,20,18,3.230546815848715
0.2,10,100% multi-capsid morphotype,1,1,18,2.8846688678804404
0.2,10,100% multi-capsid morphotype,1,2,18,4.130086700726718
0.2,10,100% multi-capsid morphotype,1,3,18,4.042351065825032
0.2,10,100% multi-capsid morphotype,1,4,18,4.171711235263992
0.2,10,100% multi-capsid morphotype,1,5,18,2.825602379302232
0.2,10,100% multi-capsid morphotype,1,6,18,4.186019710373903
0.2,10,100% multi-capsid morphotype,1,7,18,3.664202020312402
0.2,10,100% multi-capsid morphotype,1,8,18,3.7736380183658698
0.2,10,100% multi-capsid morphotype,1,9,18,3.009532404674876
0.2,10,100% multi-capsid morphotype,1,10,18,3.6829875959928917
0.2,10,100% multi-capsid morphotype,1,11,18,3.690544556987892
