nu_DO,C_DO,C_GR,nu_GR,morph,draw
0.012225297022410537,2.6638517657581846,4.130554780654916,0.012225297022410537,MNPV,1
0.010723763450562794,1.9750979267628588,3.6139341422096916,0.010723763450562794,MNPV,2
0.007220777712898166,3.5469185653584443,3.8397974491252445,0.007220777712898166,MNPV,3
0.009440848025491255,2.8539623764655375,4.289517725917721,0.009440848025491255,MNPV,4
0.008685314176715489,2.3941866355650836,4.463305597623181,0.008685314176715489,MNPV,5
0.00746490464452167,2.5754825084212096,3.0778128041249317,0.00746490464452167,MNPV,6
0.005742893367631962,1.7350045213005987,2.714648649293181,0.005742893367631962,MNPV,7
0.009223486382044347,2.2123170001567773,3.9479921809836096,0.009223486382044347,MNPV,8
0.011015914832867403,3.550617910226336,4.08267415139199,0.011015914832867403,MNPV,9
0.017771334531046668,2.994435281013031,3.85645722277639,0.017771334531046668,MNPV,10
0.006395154507213768,1.2820626092320078,2.557447690742736,0.006395154507213768,MNPV,11
0.012607637379827327,2.8210761997873073,3.080303358746144,0.012607637379827327,MNPV,12
0.009581900868248935,2.6228816864647087,3.1103789998918008,0.009581900868248935,MNPV,13
0.0038324529153393396,2.553963160605898,3.530903294962497,0.0038324529153393396,MNPV,14
0.006549907953014651,3.003322727306759,4.000185803471565,0.006549907953014651,MNPV,15
0.011467529903921962,1.90240215035832,3.907159967662881,0.011467529903921962,MNPV,16
0.010167797433813337,2.270989350150269,3.1140609425832926,0.010167797433813337,MNPV,17
0.016786325720026567,1.2023091257190968,2.89413043341537,0.016786325720026567,MNPV,18
0.004269073672290632,1.8789017957071659,4.126775799481782,0.004269073672290632,MNPV,19
0.004056864577348083,2.3106104442719144,2.840803780538929,0.004056864577348083,MNPV,20
0.006453316085088578,2.31826241719622,1.5711545338573072,0.006453316085088578,MNPV,21
5.994502113095026e-4,2.148118847409341,3.7800923280572403,5.994502113095026e-4,MNPV,22
0.004152444232990789,1.0817356562806966,3.1328710036993845,0.004152444232990789,MNPV,23
0.009266735350952935,4.381346414448208,4.06085304459544,0.009266735350952935,MNPV,24
0.009896279617897793,2.0340704043403144,2.7247584309864328,0.009896279617897793,MNPV,25
0.008476208852740075,3.1713115236778453,2.897959389466192,0.008476208852740075,MNPV,26
0.010904968053859848,2.616318762932635,3.266069701114545,0.010904968053859848,MNPV,27
0.008367747275699894,2.1487872194352544,1.4077317744598752,0.008367747275699894,MNPV,28
0.013827154701563945,3.7524720516242764,3.576678147506312,0.013827154701563945,MNPV,29
0.006685383272846541,2.875641025980573,3.7129592878736006,0.006685383272846541,MNPV,30
0.018206903904104014,2.207650267960392,3.4698564175109365,0.018206903904104014,MNPV,31
0.00903622395698219,1.9629865448593506,3.2620833830667415,0.00903622395698219,MNPV,32
0.004254755679237383,0.9952786873249901,2.8613206139103164,0.004254755679237383,MNPV,33
0.008397035863579677,2.4260646674647597,3.3465284177618275,0.008397035863579677,MNPV,34
0.001676544530510728,2.1567458067135714,3.381842389894753,0.001676544530510728,MNPV,35
0.010736470419794742,1.24879520961434,3.7485747256905153,0.010736470419794742,MNPV,36
0.010056662169274972,2.8594873785326413,4.046797018751352,0.010056662169274972,MNPV,37
0.009076472074074029,2.0422209672611698,3.789552271094588,0.009076472074074029,MNPV,38
0.002454071169547153,2.627488506914088,3.42889926203729,0.002454071169547153,MNPV,39
0.005172871178585925,1.0387994689310784,2.659889192851103,0.005172871178585925,MNPV,40
0.005867817915392131,2.5988855595656934,2.947216563211066,0.005867817915392131,MNPV,41
0.0063219086441455834,3.5732138954209702,3.305861011797071,0.0063219086441455834,MNPV,42
0.008883018172434642,2.146750284953916,4.226071971619035,0.008883018172434642,MNPV,43
0.006753279932277762,2.2476826454889824,3.561861037212031,0.006753279932277762,MNPV,44
0.005101089945992068,2.1987978059577373,2.9419952308068926,0.005101089945992068,MNPV,45
0.005730620026342282,2.6011336638703693,3.9914437101116413,0.005730620026342282,MNPV,46
0.008783175101839766,2.128139016817776,3.4317251942457503,0.008783175101839766,MNPV,47
0.010611433331774157,2.8741579008155287,3.6158251326700186,0.010611433331774157,MNPV,48
0.00718210595930779,1.6337137301328042,3.1252651220104113,0.00718210595930779,MNPV,49
0.008352866015592184,2.3791574190784823,2.5617842791405248,0.008352866015592184,MNPV,50
0.008307487710532266,2.7754182031233015,3.8572393818884736,0.008307487710532266,MNPV,51
0.00875576578503199,2.3202348415536327,3.242524106931249,0.00875576578503199,MNPV,52
