mean,sd,se_mean,X25.,X75.,X2.5.,X97.5.,params
0.006346087092225501,0.00259377176779503,1.9173484452867712e-5,0.004555077339066632,0.007682103426593352,0.0024602881025313377,0.012604171549209758,mu
3.0723279934172485,0.6299189746523072,0.005559421623288945,2.6588633208948833,3.522190633481883,1.7498851660848207,4.190821145560344,muC
0.006297111796035528,0.003687501109954171,2.096603162068769e-5,0.003813737997588525,0.007795301180767879,0.0018135821460615105,0.01568778158024948,nu_bar[1]
0.00826056839282655,0.004474069093108335,2.888036807788688e-5,0.005257220001024358,0.010086850831745178,0.002866378615982847,0.019738312940217013,nu_bar[2]
0.004341651061325455,0.003138066432124648,1.6782640763013486e-5,0.002155982338610301,0.005656681994511425,7.753271885569099e-4,0.012417392669811326,nu_bar[3]
0.009576999763173078,0.004938800080925707,3.2526792802020884e-5,0.006222211915633371,0.011664513136300868,0.0034874259355834754,0.022130233322240234,nu_bar[4]
0.009628630309340818,0.004538461931101781,3.024080006599466e-5,0.006592746044740955,0.011479463085367927,0.004045811062706766,0.021140690169080444,nu_bar[5]
0.004070362096058732,0.0032439028772952906,1.602584648718223e-5,0.0018224079738277663,0.005372086423048439,5.59511273547078e-4,0.01250299814509559,nu_bar[6]
0.00298651141612031,0.002496929268649685,1.2471949941854063e-5,0.0012793750963703806,0.0039307431312805875,3.923530172180329e-4,0.009566046858589878,nu_bar[7]
0.0037644626861419997,0.0033002566042436418,1.6168152742037668e-5,0.0014593608131008204,0.005068583972894713,3.2641566649300384e-4,0.012332392499746691,nu_bar[8]
0.007848190024316162,0.004464657676325263,2.7285506258039905e-5,0.004794986603594746,0.009710377114803728,0.002419887680484396,0.019199964801681606,nu_bar[9]
0.008588392754940359,0.004738149960144736,2.9893706460377553e-5,0.005372304362949524,0.010561016892172358,0.002814593588717467,0.020740807480067274,nu_bar[10]
2.957806318141504,0.9591112557698069,0.00647786742877235,2.329695734400847,3.6584020269061988,0.8843442413954635,4.641992676724641,C[1]
2.881097332903704,0.9536189501192867,0.006620146496004712,2.2607025420808595,3.5667979788238062,0.8364607810175635,4.58687209814242,C[2]
3.3239181051693443,0.9245995239127375,0.0062035848350971605,2.7340370413222943,4.013597382539225,1.2692382115386451,4.82724089877185,C[3]
2.9923764293431807,0.8566195873893659,0.00594335283448894,2.437033439536273,3.5979614428863713,1.1869638266808564,4.55801667017718,C[4]
2.5326759592671406,0.9573774306459762,0.006800208296914668,1.8908705355772022,3.2217438076995233,0.5508314203983905,4.292216505668698,C[5]
3.227556636557325,0.9436043765776813,0.006086708527096019,2.6268260499356284,3.9237739113295182,1.1538567470538574,4.799978446322607,C[6]
3.3354462618837037,0.9357877546066777,0.006217926840373167,2.7411611177718487,4.039593929733412,1.2525802253634102,4.84208614305406,C[7]
3.293846880995999,0.9419810610888245,0.006160120487186443,2.6901320129596313,4.0026441041430205,1.2100253400351153,4.832301129192021,C[8]
3.088974201488407,0.8940081381131322,0.006047486103977967,2.5172204812289487,3.729397609399193,1.1441715248966116,4.663361452615573,C[9]
3.07461093484449,0.8905053720900378,0.006104458935166135,2.5054722043714035,3.7115720863501576,1.155065331660935,4.6527298110256154,C[10]
