"","xvals","yvals","num","distance","ref"
"1",-4.5,-2.59807621135332,1,0,1
"2",-4.5,-0.866025403784439,2,1.73205080756888,1
"3",-4.5,0.866025403784438,3,3.46410161513775,1
"4",-4.5,2.59807621135332,4,5.19615242270663,1
"5",-3,-3.46410161513775,5,1.73205080756888,1
"6",-3,-1.73205080756888,6,1.73205080756888,1
"7",-3,0,7,3,1
"8",-3,1.73205080756888,8,4.58257569495584,1
"9",-3,3.46410161513775,9,6.2449979983984,1
"10",-1.5,-4.33012701892219,10,3.46410161513775,1
"11",-1.5,-2.59807621135332,11,3,1
"12",-1.5,-0.866025403784438,12,3.46410161513775,1
"13",-1.5,0.866025403784439,13,4.58257569495584,1
"14",-1.5,2.59807621135332,14,6,1
"15",-1.5,4.33012701892219,15,7.54983443527075,1
"16",0,-5.19615242270663,16,5.19615242270663,1
"17",0,-3.46410161513775,17,4.58257569495584,1
"18",0,-1.73205080756888,18,4.58257569495584,1
"19",0,0,19,5.19615242270663,1
"20",0,1.73205080756888,20,6.2449979983984,1
"21",0,3.46410161513775,21,7.54983443527075,1
"22",0,5.19615242270663,22,9,1
"23",1.5,-4.33012701892219,23,6.2449979983984,1
"24",1.5,-2.59807621135332,24,6,1
"25",1.5,-0.866025403784438,25,6.2449979983984,1
"26",1.5,0.866025403784439,26,6.92820323027551,1
"27",1.5,2.59807621135332,27,7.93725393319377,1
"28",1.5,4.33012701892219,28,9.16515138991168,1
"29",3,-3.46410161513775,29,7.54983443527075,1
"30",3,-1.73205080756888,30,7.54983443527075,1
"31",3,0,31,7.93725393319377,1
"32",3,1.73205080756888,32,8.66025403784439,1
"33",3,3.46410161513775,33,9.64365076099295,1
"34",4.5,-2.59807621135332,34,9,1
"35",4.5,-0.866025403784439,35,9.16515138991168,1
"36",4.5,0.866025403784438,36,9.64365076099295,1
"37",4.5,2.59807621135332,37,10.3923048454133,1
"38",-4.5,-2.59807621135332,1,1.73205080756888,2
"39",-4.5,-0.866025403784439,2,0,2
"40",-4.5,0.866025403784438,3,1.73205080756888,2
"41",-4.5,2.59807621135332,4,3.46410161513775,2
"42",-3,-3.46410161513775,5,3,2
"43",-3,-1.73205080756888,6,1.73205080756888,2
"44",-3,0,7,1.73205080756888,2
"45",-3,1.73205080756888,8,3,2
"46",-3,3.46410161513775,9,4.58257569495584,2
"47",-1.5,-4.33012701892219,10,4.58257569495584,2
"48",-1.5,-2.59807621135332,11,3.46410161513775,2
"49",-1.5,-0.866025403784438,12,3,2
"50",-1.5,0.866025403784439,13,3.46410161513776,2
"51",-1.5,2.59807621135332,14,4.58257569495584,2
"52",-1.5,4.33012701892219,15,6,2
"53",0,-5.19615242270663,16,6.2449979983984,2
"54",0,-3.46410161513775,17,5.19615242270663,2
"55",0,-1.73205080756888,18,4.58257569495584,2
"56",0,0,19,4.58257569495584,2
"57",0,1.73205080756888,20,5.19615242270663,2
"58",0,3.46410161513775,21,6.2449979983984,2
"59",0,5.19615242270663,22,7.54983443527075,2
"60",1.5,-4.33012701892219,23,6.92820323027551,2
"61",1.5,-2.59807621135332,24,6.2449979983984,2
"62",1.5,-0.866025403784438,25,6,2
"63",1.5,0.866025403784439,26,6.2449979983984,2
"64",1.5,2.59807621135332,27,6.92820323027551,2
"65",1.5,4.33012701892219,28,7.93725393319377,2
"66",3,-3.46410161513775,29,7.93725393319377,2
"67",3,-1.73205080756888,30,7.54983443527075,2
"68",3,0,31,7.54983443527075,2
"69",3,1.73205080756888,32,7.93725393319377,2
"70",3,3.46410161513775,33,8.66025403784439,2
"71",4.5,-2.59807621135332,34,9.16515138991168,2
"72",4.5,-0.866025403784439,35,9,2
"73",4.5,0.866025403784438,36,9.16515138991168,2
"74",4.5,2.59807621135332,37,9.64365076099295,2
"75",-4.5,-2.59807621135332,1,3.46410161513775,3
"76",-4.5,-0.866025403784439,2,1.73205080756888,3
"77",-4.5,0.866025403784438,3,0,3
"78",-4.5,2.59807621135332,4,1.73205080756888,3
"79",-3,-3.46410161513775,5,4.58257569495584,3
"80",-3,-1.73205080756888,6,3,3
"81",-3,0,7,1.73205080756888,3
"82",-3,1.73205080756888,8,1.73205080756888,3
"83",-3,3.46410161513775,9,3,3
"84",-1.5,-4.33012701892219,10,6,3
"85",-1.5,-2.59807621135332,11,4.58257569495584,3
"86",-1.5,-0.866025403784438,12,3.46410161513775,3
"87",-1.5,0.866025403784439,13,3,3
"88",-1.5,2.59807621135332,14,3.46410161513775,3
"89",-1.5,4.33012701892219,15,4.58257569495584,3
"90",0,-5.19615242270663,16,7.54983443527075,3
"91",0,-3.46410161513775,17,6.2449979983984,3
"92",0,-1.73205080756888,18,5.19615242270663,3
"93",0,0,19,4.58257569495584,3
"94",0,1.73205080756888,20,4.58257569495584,3
"95",0,3.46410161513775,21,5.19615242270663,3
"96",0,5.19615242270663,22,6.2449979983984,3
"97",1.5,-4.33012701892219,23,7.93725393319377,3
"98",1.5,-2.59807621135332,24,6.92820323027551,3
"99",1.5,-0.866025403784438,25,6.2449979983984,3
