"","xvals","yvals","num","distance","ref"
"1",-6,-3.46410161513775,1,0,1
"2",-6,-1.73205080756888,2,1.73205080756888,1
"3",-6,0,3,3.46410161513775,1
"4",-6,1.73205080756888,4,5.19615242270663,1
"5",-6,3.46410161513775,5,6.92820323027551,1
"6",-4.5,-4.33012701892219,6,1.73205080756888,1
"7",-4.5,-2.59807621135332,7,1.73205080756888,1
"8",-4.5,-0.866025403784438,8,3,1
"9",-4.5,0.866025403784439,9,4.58257569495584,1
"10",-4.5,2.59807621135332,10,6.2449979983984,1
"11",-4.5,4.33012701892219,11,7.93725393319377,1
"12",-3,-5.19615242270663,12,3.46410161513775,1
"13",-3,-3.46410161513775,13,3,1
"14",-3,-1.73205080756888,14,3.46410161513775,1
"15",-3,0,15,4.58257569495584,1
"16",-3,1.73205080756888,16,6,1
"17",-3,3.46410161513775,17,7.54983443527075,1
"18",-3,5.19615242270663,18,9.16515138991168,1
"19",-1.5,-6.06217782649107,19,5.19615242270663,1
"20",-1.5,-4.33012701892219,20,4.58257569495584,1
"21",-1.5,-2.59807621135332,21,4.58257569495584,1
"22",-1.5,-0.866025403784438,22,5.19615242270663,1
"23",-1.5,0.866025403784438,23,6.2449979983984,1
"24",-1.5,2.59807621135332,24,7.54983443527075,1
"25",-1.5,4.33012701892219,25,9,1
"26",-1.5,6.06217782649107,26,10.5356537528527,1
"27",0,-6.92820323027551,27,6.92820323027551,1
"28",0,-5.19615242270663,28,6.2449979983984,1
"29",0,-3.46410161513775,29,6,1
"30",0,-1.73205080756888,30,6.2449979983984,1
"31",0,0,31,6.92820323027551,1
"32",0,1.73205080756888,32,7.93725393319377,1
"33",0,3.46410161513776,33,9.16515138991168,1
"34",0,5.19615242270663,34,10.5356537528527,1
"35",0,6.92820323027551,35,12,1
"36",1.5,-6.06217782649107,36,7.93725393319377,1
"37",1.5,-4.33012701892219,37,7.54983443527075,1
"38",1.5,-2.59807621135332,38,7.54983443527075,1
"39",1.5,-0.866025403784438,39,7.93725393319377,1
"40",1.5,0.866025403784438,40,8.66025403784439,1
"41",1.5,2.59807621135332,41,9.64365076099295,1
"42",1.5,4.33012701892219,42,10.816653826392,1
"43",1.5,6.06217782649107,43,12.1243556529821,1
"44",3,-5.19615242270663,44,9.16515138991168,1
"45",3,-3.46410161513775,45,9,1
"46",3,-1.73205080756888,46,9.16515138991168,1
"47",3,0,47,9.64365076099295,1
"48",3,1.73205080756888,48,10.3923048454133,1
"49",3,3.46410161513775,49,11.3578166916005,1
"50",3,5.19615242270663,50,12.4899959967968,1
"51",4.5,-4.33012701892219,51,10.5356537528527,1
"52",4.5,-2.59807621135332,52,10.5356537528527,1
"53",4.5,-0.866025403784438,53,10.816653826392,1
"54",4.5,0.866025403784439,54,11.3578166916005,1
"55",4.5,2.59807621135332,55,12.1243556529821,1
"56",4.5,4.33012701892219,56,13.076696830622,1
"57",6,-3.46410161513775,57,12,1
"58",6,-1.73205080756888,58,12.1243556529821,1
"59",6,0,59,12.4899959967968,1
"60",6,1.73205080756888,60,13.076696830622,1
"61",6,3.46410161513775,61,13.856406460551,1
"62",-6,-3.46410161513775,1,1.73205080756888,2
"63",-6,-1.73205080756888,2,0,2
"64",-6,0,3,1.73205080756888,2
"65",-6,1.73205080756888,4,3.46410161513775,2
"66",-6,3.46410161513775,5,5.19615242270663,2
"67",-4.5,-4.33012701892219,6,3,2
"68",-4.5,-2.59807621135332,7,1.73205080756888,2
"69",-4.5,-0.866025403784438,8,1.73205080756888,2
"70",-4.5,0.866025403784439,9,3,2
"71",-4.5,2.59807621135332,10,4.58257569495584,2
"72",-4.5,4.33012701892219,11,6.2449979983984,2
"73",-3,-5.19615242270663,12,4.58257569495584,2
"74",-3,-3.46410161513775,13,3.46410161513775,2
"75",-3,-1.73205080756888,14,3,2
"76",-3,0,15,3.46410161513775,2
"77",-3,1.73205080756888,16,4.58257569495584,2
"78",-3,3.46410161513775,17,6,2
"79",-3,5.19615242270663,18,7.54983443527075,2
"80",-1.5,-6.06217782649107,19,6.2449979983984,2
"81",-1.5,-4.33012701892219,20,5.19615242270663,2
"82",-1.5,-2.59807621135332,21,4.58257569495584,2
"83",-1.5,-0.866025403784438,22,4.58257569495584,2
"84",-1.5,0.866025403784438,23,5.19615242270663,2
"85",-1.5,2.59807621135332,24,6.2449979983984,2
"86",-1.5,4.33012701892219,25,7.54983443527075,2
"87",-1.5,6.06217782649107,26,9,2
"88",0,-6.92820323027551,27,7.93725393319377,2
"89",0,-5.19615242270663,28,6.92820323027551,2
"90",0,-3.46410161513775,29,6.2449979983984,2
"91",0,-1.73205080756888,30,6,2
"92",0,0,31,6.2449979983984,2
"93",0,1.73205080756888,32,6.92820323027551,2
"94",0,3.46410161513776,33,7.93725393319377,2
"95",0,5.19615242270663,34,9.16515138991168,2
"96",0,6.92820323027551,35,10.5356537528527,2
"97",1.5,-6.06217782649107,36,8.66025403784439,2
"98",1.5,-4.33012701892219,37,7.93725393319377,2
"99",1.5,-2.59807621135332,38,7.54983443527075,2
"100",1.5,-0.866025403784438,39,7.54983443527075,2
"101",1.5,0.866025403784438,40,7.93725393319377,2
"102",1.5,2.59807621135332,41,8.66025403784439,2
"103",1.5,4.33012701892219,42,9.64365076099295,2
"104",1.5,6.06217782649107,43,10.816653826392,2
"105",3,-5.19615242270663,44,9.64365076099295,2
"106",3,-3.46410161513775,45,9.16515138991168,2
"107",3,-1.73205080756888,46,9,2
"108",3,0,47,9.16515138991168,2
"109",3,1.73205080756888,48,9.64365076099295,2
"110",3,3.46410161513775,49,10.3923048454133,2
"111",3,5.19615242270663,50,11.3578166916005,2
"112",4.5,-4.33012701892219,51,10.816653826392,2
