phiS,phiM,lambda,rho,sigma,ll,pset
56.075517206921155,30.681627683227692,1.3693881312982426,0.03444706444701735,0.5,-564.6930623298147,2
56.075517206921155,30.681627683227692,1.3693881312982426,0.01016911108713766,0.5,-565.5322841436803,4
56.59213856900189,30.08062455953186,1.3675457637228023,0.0193585079818221,0.5,-568.6465637729474,6
60.89092110522985,26.33452635888712,1.3893974822737925,0.02963703138338122,0.5,-570.636098210885,10
53.64990513491859,25.05916944916113,1.363075327572272,0.02030345322615983,0.25,-570.8278553687892,14
60.89092110522985,26.33452635888712,1.3893974822737925,0.01017970036876513,0.25,-571.3528321969235,21
60.89092110522985,26.33452635888712,1.3893974822737925,0.01453566471215474,0.25,-571.6479959578863,29
60.89092110522985,26.33452635888712,1.3893974822737925,0.02963703138338122,0.25,-571.9383768035752,10
60.512294510970285,25.865740940507152,1.384135790226507,0.0102087444499767,0.25,-571.9410805056846,8
60.512294510970285,25.865740940507152,1.384135790226507,0.01029992703071328,0.25,-571.9688473025636,5
60.512294510970285,25.865740940507152,1.384135790226507,0.01860017830953479,0.25,-572.229503166919,24
60.89092110522985,26.33452635888712,1.3863360067221393,0.02963703138338122,0.25,-572.2887918878216,23
56.59213856900189,30.08062455953186,1.3675457637228023,0.0225313952375919,0.25,-572.4217529378146,9
56.22292945972215,30.65190652953976,1.3892236935043132,0.01020466734618522,0,-572.4866575657354,28
56.59213856900189,29.860851754948285,1.3675457637228023,0.0193585079818221,0.25,-572.5911158301385,25
56.22292945972215,30.65190652953976,1.3892236935043132,0.01031016677235153,0,-572.6318320416383,17
56.59213856900189,29.860851754948285,1.3675457637228023,0.0193585079818221,0.5,-572.6917554259776,25
56.59213856900189,30.08062455953186,1.3675457637228023,0.0193585079818221,0.25,-572.8558187685893,6
56.59213856900189,30.08062455953186,1.3675457637228023,0.03631476164413428,0.25,-572.8691661200266,13
56.075517206921155,30.681627683227692,1.3693881312982426,0.01988852863305654,0.5,-573.01649503380645,3
56.22292945972215,30.65190652953976,1.3892236935043132,0.02194771109793109,0,-573.1477903861843,20
56.075517206921155,30.681627683227692,1.3693881312982426,0.01884198898563966,0.5,-573.2143161007043,22
56.22292945972215,30.65190652953976,1.3892236935043132,0.01020466734618522,0.25,-573.2991824357376,28
56.22292945972215,30.65190652953976,1.3892236935043132,0.01031016677235153,0.25,-573.3001417123479,17
56.075517206921155,30.681627683227692,1.3693881312982426,0.0102281673560298,0.25,-573.5852000426092,1
56.22292945972215,30.65190652953976,1.3892236935043132,0.02194771109793109,0.25,-573.5954846448188,20
56.075517206921155,30.681627683227692,1.3693881312982426,0.01016911108713766,0.25,-573.6552698333664,4
56.075517206921155,30.681627683227692,1.3693881312982426,0.01030626425311275,0.25,-573.6611681259518,12
56.075517206921155,30.681627683227692,1.3693881312982426,0.01884198898563966,0.25,-573.7425543920235,22
56.075517206921155,30.681627683227692,1.3693881312982426,0.01422141543691309,0.25,-573.7948987333311,18
56.075517206921155,30.681627683227692,1.3693881312982426,0.03959746219104017,0.25,-573.8874186889565,7
56.075517206921155,30.681627683227692,1.3693881312982426,0.01988852863305654,0.25,-573.944541227911,3
60.512294510970285,34.93118244405388,1.384135790226507,0.0102087444499767,0,-573.9466239456206,15
56.075517206921155,30.681627683227692,1.3693881312982426,0.01016911108713766,0,-573.9873639073543,4
56.075517206921155,30.681627683227692,1.3693881312982426,0.03444706444701735,0.25,-573.9964290684773,2
56.075517206921155,30.681627683227692,1.3693881312982426,0.01606032518740647,0.25,-574.0210516205307,16
60.89092110522985,34.36875917808077,1.3893974822737925,0.02963703138338122,0,-574.1723690582156,11
56.075517206921155,30.681627683227692,1.3693881312982426,0.0102281673560298,0,-574.2067772650367,1
56.075517206921155,30.681627683227692,1.3693881312982426,0.01030626425311275,0,-574.2666609766582,12
56.075517206921155,30.681627683227692,1.3693881312982426,0.01606032518740647,0,-574.2927521449504,16
56.075517206921155,30.681627683227692,1.3693881312982426,0.0102281673560298,0.5,-574.3540143274571,1
56.075517206921155,30.681627683227692,1.3693881312982426,0.01988852863305654,0,-574.3930046845195,3
56.59213856900189,30.08062455953186,1.3675457637228023,0.0193585079818221,0,-574.4040846287038,6
56.075517206921155,30.681627683227692,1.3693881312982426,0.01422141543691309,0,-574.4186440341628,18
56.075517206921155,30.681627683227692,1.3693881312982426,0.01884198898563966,0,-574.4773777633158,22
56.075517206921155,30.681627683227692,1.3693881312982426,0.06297637950650162,0.25,-574.5170529815662,27
60.89092110522985,26.33452635888712,1.3893974822737925,0.01017970036876513,0.5,-574.5653324672192,21
56.59213856900189,29.860851754948285,1.3675457637228023,0.0193585079818221,0,-574.7184284314844,25
56.59213856900189,30.08062455953186,1.3675457637228023,0.0225313952375919,0,-574.7477123780423,9
60.512294510970285,34.93118244405388,1.384135790226507,0.0102087444499767,0.5,-574.9494059375414,15
56.075517206921155,30.681627683227692,1.3693881312982426,0.01030626425311275,0.5,-574.9597094384392,12
56.59213856900189,30.08062455953186,1.3675457637228023,0.0225313952375919,0.5,-574.9699220638978,9
56.59213856900189,29.860851754948285,1.3675457637228023,0.0193585079818221,0.05,-575.0329512265926,25
56.075517206921155,30.681627683227692,1.3693881312982426,0.01606032518740647,0.5,-575.0632523887055,16
60.89092110522985,34.36875917808077,1.3893974822737925,0.02963703138338122,0.25,-575.1005800767352,11
