sS_DO,sS_GR,phi,rho,pdoug,sM,sigma,mean_MNPV,sd,q1,q9,sM_DO,pset
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,12,5.832969496625317,0.5,0.30906794211881555,0.01885472587150104,0.2741974332313852,0.3477009235411755,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,14,5.832969496625317,0.5,0.322572185793911,0.02064524112395,0.28544975858794125,0.3659837971201182,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,18,5.832969496625317,0.05,0.3728680658076146,0.009967108512969914,0.3538846852062379,0.3926524387687164,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,9,5.832969496625317,0.05,0.27797186251565403,0.01249131595754048,0.252795511236713,0.2977391940073177,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,11,5.832969496625317,0.5,0.30399184248683686,0.018562722690813698,0.27210078472536964,0.34588493832673295,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,3,5.832969496625317,0.75,0.2862286872043019,0.01749539099597217,0.2535769444003055,0.32336287739463765,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,19,5.832969496625317,0.05,0.3911069389468579,0.010811570255596854,0.3694050410841672,0.4123703665371453,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,9,5.832969496625317,0.5,0.2953666922848273,0.016517684339221007,0.2638774392792173,0.329714827649332,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,20,5.832969496625317,0.5,0.38183859592758834,0.02812196500625082,0.3286430418105969,0.43583687404652743,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,20,5.832969496625317,0.05,0.4010973326347751,0.011361479166078237,0.3796360013175749,0.42304241740529747,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,10,5.832969496625317,0.5,0.3000721200266611,0.017366942684598992,0.2693789414775824,0.33465978261194196,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,11,5.832969496625317,0.05,0.28730297291401113,0.01003888955114404,0.2653247104898677,0.3034156410227728,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,13,5.832969496625317,0.5,0.3147095963410133,0.019545656832031508,0.27948021536705187,0.35502032229555736,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,8,5.832969496625317,0.05,0.2716123212224056,0.013120506703330483,0.24774673982009254,0.2952085180529509,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,12,5.832969496625317,0.05,0.29149662066493653,0.008746680619631606,0.2706358852263785,0.30538839175149257,5.832969496625317,5
1.2076553208395296e-4,1254.88419034431,12.31688510350501,0.2903033760806366,6,5.832969496625317,0.5,0.28705881236107533,0.01504309726500148,0.2574346918978706,0.31761125911325383,5.832969496625317,5
