sS_DO,sS_GR,sM_DO,phi,rho,sM_GR,sigma,ll,pset
0.5350812510899793,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0,-303.4392656675128,7
0.5350812510899793,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.05,-303.8467205056856,7
1.1124968817706828,308.28152559849167,1.838205830308351,17.441555173222188,0.10145358027019497,1.838205830308351,0.5,-305.8248895112396,19
1.1124968817706828,308.28152559849167,1.838205830308351,15.203183518842147,0.10145358027019497,1.838205830308351,0.25,-305.98572256155546,1
0.13836887197080092,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0,-306.8681954061433,10
0.13836887197080092,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.05,-307.2620399731198,10
0.13836887197080092,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.25,-308.02875646643514,10
0.01090992253923647,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.05,-310.35731983486573,25
0.01090992253923647,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,1,-311.17742380774047,25
1.1124968817706828,308.28152559849167,1.838205830308351,17.441555173222188,0.10145358027019497,1.838205830308351,0.25,-312.783743729081,19
4.137618071808527e-5,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.05,-313.90669683436556,22
0.01090992253923647,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0,-313.95597866767497,25
1.1124968817706828,308.28152559849167,1.838205830308351,15.203183518842147,0.10145358027019497,1.838205830308351,0.05,-314.93029596985264,1
1.062641540929893e-5,241.90603944239135,1.0268193030537291,16.990742949765753,0.19802939607123765,1.0268193030537291,0.5,-316.64972438378294,3
4.137618071808527e-5,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0,-317.30774440223587,22
1.1124968817706828,308.28152559849167,1.838205830308351,18.320217074247925,0.10145358027019497,1.838205830308351,0.25,-319.756802930966,2
1.1124968817706828,308.28152559849167,1.838205830308351,15.203183518842147,0.10145358027019497,1.838205830308351,0.5,-321.01256555318565,1
0.5350812510899793,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.25,-321.4022216974868,7
4.137618071808527e-5,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.25,-322.47152126588963,22
1.1124968817706828,308.28152559849167,1.838205830308351,18.320217074247925,0.13539883678739464,1.838205830308351,0.5,-322.92186543154656,14
1.1124968817706828,308.28152559849167,1.838205830308351,18.320217074247925,0.10145358027019497,1.838205830308351,0.5,-323.1521282223425,2
1.1124968817706828,308.28152559849167,1.838205830308351,20.00948330877754,0.10145358027019497,1.838205830308351,0.25,-323.4706901395423,18
0.13836887197080092,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,1,-323.7870000661374,10
0.01090992253923647,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.5,-323.91612712015774,25
1.062641540929893e-5,241.90603944239135,1.0268193030537291,16.990742949765753,0.23442085546414657,1.0268193030537291,0.75,-323.9996451424007,8
0.13836887197080092,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.5,-324.00979712269424,10
4.137618071808527e-5,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.5,-325.2120453860877,22
0.01090992253923647,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.25,-326.18964812574444,25
1.1124968817706828,308.28152559849167,1.838205830308351,18.320217074247925,0.13539883678739464,1.838205830308351,0.05,-326.290884498614,14
1.1124968817706828,308.28152559849167,1.838205830308351,15.203183518842147,0.10145358027019497,1.838205830308351,0.75,-327.4380195595714,1
1.1124968817706828,308.28152559849167,1.838205830308351,20.00948330877754,0.10145358027019497,1.838205830308351,0.5,-327.48414856414314,18
4.137618071808527e-5,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,1,-327.6015621901716,22
1.062641540929893e-5,241.90603944239135,1.0268193030537291,16.990742949765753,0.19802939607123765,1.0268193030537291,1,-327.7640321726596,3
1.062641540929893e-5,241.90603944239135,1.0268193030537291,16.990742949765753,0.23442085546414657,1.0268193030537291,1,-328.77909928266325,8
0.597561362099531,1254.88419034431,5.832969496625317,12.31688510350501,0.2903033760806366,5.832969496625317,0.5,-328.7902596690129,4
0.5350812510899793,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.5,-329.0430976111768,7
1.062641540929893e-5,241.90603944239135,1.0268193030537291,16.990742949765753,0.19802939607123765,1.0268193030537291,0.75,-330.2022756799537,3
1.062641540929893e-5,241.90603944239135,1.0268193030537291,16.990742949765753,0.19802939607123765,1.0268193030537291,0.25,-330.2984475065629,3
1.1124968817706828,308.28152559849167,1.838205830308351,18.320217074247925,0.13539883678739464,1.838205830308351,0.25,-330.32526878938825,14
0.13836887197080092,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.75,-331.5909311595448,10
1.1124968817706828,308.28152559849167,1.838205830308351,15.203183518842147,0.10145358027019497,1.838205830308351,0,-331.61784378991433,1
1.1124968817706828,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,1.838205830308351,0.05,-331.6208874377271,6
