sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,sigma,ll,pset
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,22.36130796877121,0.10067383568546212,0.5,-276.71616943885505,7
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,25.892099665134054,0.10067383568546212,0.5,-286.86809042464233,16
0.04404649609238243,1395.5986117629925,5.949658124256009,60.65752812293519,20.47154687593019,0.10067383568546212,0.5,-287.2174289617844,28
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,20.47154687593019,0.10095276456744644,0.5,-289.80056173079697,20
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,83.58816382900073,20.47154687593019,0.10067383568546212,0.5,-291.83831670601927,3
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,20.47154687593019,0.10067383568546212,0.5,-293.3654579520735,1
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,25.892099665134054,0.10067383568546212,0.75,-295.9453382902517,16
1.000804869852563e-4,812.0733405777697,0.9462589789581456,109.86919532127214,33.94185073330471,0.11581246622097084,0.5,-296.91941483384744,15
1.000804869852563e-4,812.0733405777697,0.9462589789581456,124.97682205051164,33.94185073330471,0.10081424951241856,0.25,-297.41203322685044,21
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,30.671514273799406,0.10067383568546212,0.5,-298.0234881134914,4
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,23.663224057194785,20.47154687593019,0.10067383568546212,0.5,-298.6306200283655,22
1.000804869852563e-4,812.0733405777697,0.9462589789581456,124.97682205051164,33.94185073330471,0.10070150637740025,0.25,-299.39988022352367,13
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,20.47154687593019,0.12323461119779888,0.75,-301.0237167490304,30
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,26.685246305206014,0.10067383568546212,0.5,-301.25324471424943,24
1.0775658661152156e-5,1395.5986117629925,3.5814444634461404,60.65752812293519,36.25162671243939,0.10067383568546212,0.5,-302.2251062919776,14
0.02707042601524345,1395.5986117629925,5.949658124256009,60.65752812293519,20.47154687593019,0.10067383568546212,0.5,-302.40977630431047,2
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,33.27272834625379,0.10067383568546212,0.5,-304.01557516558836,25
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,83.58816382900073,20.47154687593019,0.10067383568546212,0.75,-304.90357471220597,3
1.0775658661152156e-5,1395.5986117629925,6.889493586910625,60.65752812293519,20.47154687593019,0.10067383568546212,0.5,-305.33711457338086,23
1.2219250837789766,1395.5986117629925,5.949658124256009,60.65752812293519,20.47154687593019,0.10067383568546212,0.5,-306.77236933775754,9
1.000804869852563e-4,812.0733405777697,0.9462589789581456,124.97682205051164,33.94185073330471,0.10081424951241856,0.5,-306.81805877591324,21
1.000804869852563e-4,812.0733405777697,0.9462589789581456,124.97682205051164,33.94185073330471,0.11581246622097084,0.25,-308.55489170739935,5
1.000804869852563e-4,812.0733405777697,0.9462589789581456,109.86919532127214,33.94185073330471,0.11581246622097084,0.25,-308.5792496455001,15
1.341387930582476,1395.5986117629925,5.949658124256009,60.65752812293519,20.47154687593019,0.10067383568546212,0.5,-308.7420543584606,6
1.000804869852563e-4,812.0733405777697,0.9462589789581456,124.97682205051164,33.94185073330471,0.10070150637740025,0.5,-309.06866572974417,13
1.000804869852563e-4,812.0733405777697,0.9462589789581456,124.97682205051164,33.94185073330471,0.11581246622097084,0.5,-309.86251341970876,5
1.000804869852563e-4,812.0733405777697,0.9462589789581456,124.97682205051164,33.94185073330471,0.10070150637740025,0.05,-310.9288334491228,13
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,36.25162671243939,0.10067383568546212,0.5,-311.9247576995472,10
0.04404649609238243,1395.5986117629925,5.949658124256009,60.65752812293519,20.47154687593019,0.10067383568546212,0.75,-312.6695752943814,28
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,20.47154687593019,0.10067383568546212,0.75,-312.8528884710093,1
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,20.47154687593019,0.12323461119779888,0.5,-313.6929874805973,30
1.0775658661152156e-5,1395.5986117629925,6.889493586910625,60.65752812293519,20.47154687593019,0.10067383568546212,0.75,-314.0618336510241,23
1.000804869852563e-4,812.0733405777697,0.9462589789581456,124.97682205051164,33.94185073330471,0.10081424951241856,0.05,-314.0669663390642,21
0.02707042601524345,1395.5986117629925,5.949658124256009,60.65752812293519,20.47154687593019,0.10067383568546212,0.75,-314.3201764409576,2
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,23.663224057194785,20.47154687593019,0.10067383568546212,0.75,-314.8051816375507,22
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,26.685246305206014,0.10067383568546212,0.75,-315.2105614721851,24
0.00291036077508224,157.03913026938844,0.3798847322230032,4.053302464783467,59.905552169439645,0.10061288381118626,0.5,-315.92228611739887,26
1.0775658661152156e-5,1395.5986117629925,5.949658124256009,60.65752812293519,22.36130796877121,0.10067383568546212,0.75,-316.0966095412156,7
