sS,sM,phi,rho,sigma,ll,pset
117.4005256794313,33.25286038898563,15.316493300748371,0.05057948639798919,0.75,-460.9003693089207,17
117.4005256794313,33.25286038898563,15.316493300748371,0.05057948639798919,0.25,-445.50460921573733,17
117.4005256794313,33.25286038898563,15.316493300748371,0.05057948639798919,1,-437.2959505933572,17
117.4005256794313,33.25286038898563,15.316493300748371,0.05057948639798919,0.05,-548.4082047607851,17
117.4005256794313,33.25286038898563,15.316493300748371,0.05057948639798919,0,-546.2700149525755,17
117.4005256794313,33.25286038898563,15.316493300748371,0.05057948639798919,0.5,-455.61700412591216,17
117.4005256794313,78.70404730495457,15.316493300748371,0.05057948639798919,0.25,-471.149242872869,3
117.4005256794313,78.70404730495457,15.316493300748371,0.05057948639798919,0.75,-427.94333293024073,3
117.4005256794313,78.70404730495457,15.316493300748371,0.05057948639798919,0.05,-462.1050713738079,3
117.4005256794313,78.70404730495457,15.316493300748371,0.05057948639798919,0,-467.6747179692083,3
117.4005256794313,78.70404730495457,15.316493300748371,0.05057948639798919,1,-441.56326971041256,3
117.4005256794313,78.70404730495457,15.316493300748371,0.05057948639798919,0.5,-435.098757414946,3
12.519161703196286,10.915926723704056,30.212620448795917,0.05074899440144033,0.5,-403.2701958165931,2
12.519161703196286,10.915926723704056,30.212620448795917,0.05074899440144033,0.25,-426.2641112086412,2
12.519161703196286,10.915926723704056,30.212620448795917,0.05074899440144033,1,-467.2947835617721,2
12.519161703196286,10.915926723704056,30.212620448795917,0.05074899440144033,0,-427.45906254063703,2
12.519161703196286,10.915926723704056,30.212620448795917,0.05074899440144033,0.75,-433.03904868241136,2
12.519161703196286,10.915926723704056,30.212620448795917,0.05074899440144033,0.05,-426.2282412957373,2
122.7975976840149,124.407892423586,26.112446079236623,0.05067764248168376,0.75,-465.6093334620713,22
122.7975976840149,124.407892423586,26.112446079236623,0.05067764248168376,0,-450.1947547193792,22
122.7975976840149,124.407892423586,26.112446079236623,0.05067764248168376,0.25,-443.8984752621687,22
122.7975976840149,124.407892423586,26.112446079236623,0.05067764248168376,0.05,-429.2777925216232,22
122.7975976840149,124.407892423586,26.112446079236623,0.05067764248168376,1,-478.18303666437606,22
122.7975976840149,124.407892423586,26.112446079236623,0.05067764248168376,0.5,-423.7001029596177,22
122.7975976840149,124.407892423586,26.112446079236623,0.05097476652469653,0.05,-448.4949631302908,28
122.7975976840149,124.407892423586,26.112446079236623,0.05097476652469653,0.25,-435.7529842554528,28
122.7975976840149,124.407892423586,26.112446079236623,0.05097476652469653,0.5,-412.6325914019581,28
122.7975976840149,124.407892423586,26.112446079236623,0.05097476652469653,0.75,-429.9303237153451,28
122.7975976840149,124.407892423586,26.112446079236623,0.05097476652469653,1,-486.1220628593149,28
122.7975976840149,124.407892423586,26.112446079236623,0.05097476652469653,0,-446.9805323484963,28
122.7975976840149,124.407892423586,26.112446079236623,0.07499979294873736,0.25,-469.51758050223424,1
122.7975976840149,124.407892423586,26.112446079236623,0.07499979294873736,1,-490.56231210387085,1
122.7975976840149,124.407892423586,26.112446079236623,0.07499979294873736,0,-444.7065925777144,1
122.7975976840149,124.407892423586,26.112446079236623,0.07499979294873736,0.75,-463.7820616781886,1
122.7975976840149,124.407892423586,26.112446079236623,0.07499979294873736,0.05,-464.4102102773286,1
122.7975976840149,124.407892423586,26.112446079236623,0.07499979294873736,0.5,-450.601573280282,1
14.799099452905564,9.824991417494411,39.22808176505046,0.05083321543404259,1,-486.3331592354079,4
14.799099452905564,9.824991417494411,39.22808176505046,0.05083321543404259,0.25,-420.6078186928046,4
14.799099452905564,9.824991417494411,39.22808176505046,0.05083321543404259,0,-441.7091226111248,4
14.799099452905564,9.824991417494411,39.22808176505046,0.05083321543404259,0.75,-444.9591925454131,4
14.799099452905564,9.824991417494411,39.22808176505046,0.05083321543404259,0.5,-429.9466964107908,4
14.799099452905564,9.824991417494411,39.22808176505046,0.05083321543404259,0.05,-429.9245951351611,4
165.40138158538352,117.67860064983071,17.907754840597626,0.05081157188415047,0.25,-457.18914854454874,26
165.40138158538352,117.67860064983071,17.907754840597626,0.05081157188415047,0,-477.2810267014874,26
165.40138158538352,117.67860064983071,17.907754840597626,0.05081157188415047,0.75,-443.5295322322713,26
165.40138158538352,117.67860064983071,17.907754840597626,0.05081157188415047,0.5,-433.6898416705961,26
165.40138158538352,117.67860064983071,17.907754840597626,0.05081157188415047,0.05,-451.4615704802816,26
165.40138158538352,117.67860064983071,17.907754840597626,0.05081157188415047,1,-429.4642469726979,26
18.901645580818823,13.018517620401395,33.10375088881762,0.06520293019119949,0.75,-446.7109281145514,23
18.901645580818823,13.018517620401395,33.10375088881762,0.06520293019119949,0.5,-435.3434323268908,23
18.901645580818823,13.018517620401395,33.10375088881762,0.06520293019119949,0,-437.89654666971165,23
18.901645580818823,13.018517620401395,33.10375088881762,0.06520293019119949,1,-484.44453875525255,23
18.901645580818823,13.018517620401395,33.10375088881762,0.06520293019119949,0.05,-446.3368284970395,23
18.901645580818823,13.018517620401395,33.10375088881762,0.06520293019119949,0.25,-455.5606623135703,23
19.05128798691664,19.96179715014726,33.096164873799005,0.08155337382491501,1,-504.87931862570287,27
19.05128798691664,19.96179715014726,33.096164873799005,0.08155337382491501,0.5,-458.7676817766004,27
19.05128798691664,19.96179715014726,33.096164873799005,0.08155337382491501,0.25,-440.4764404096593,27
19.05128798691664,19.96179715014726,33.096164873799005,0.08155337382491501,0.05,-430.38093864095,27
19.05128798691664,19.96179715014726,33.096164873799005,0.08155337382491501,0.75,-494.9729480559597,27
19.05128798691664,19.96179715014726,33.096164873799005,0.08155337382491501,0,-453.5596886065343,27
265.2993152507166,82.17269271943935,15.310283323987592,0.0506814057412551,0.25,-435.97487607912984,24
265.2993152507166,82.17269271943935,15.310283323987592,0.0506814057412551,0.75,-457.6833973446989,24
265.2993152507166,82.17269271943935,15.310283323987592,0.0506814057412551,0,-544.3187605979251,24
265.2993152507166,82.17269271943935,15.310283323987592,0.0506814057412551,1,-436.8171347470789,24
265.2993152507166,82.17269271943935,15.310283323987592,0.0506814057412551,0.5,-441.2736418135984,24
265.2993152507166,82.17269271943935,15.310283323987592,0.0506814057412551,0.05,-525.2844827314955,24
27.321083249560232,28.282054057541178,28.03294944461462,0.05059650810028075,1,-459.7746180260508,25
27.321083249560232,28.282054057541178,28.03294944461462,0.05059650810028075,0.5,-409.87759401976945,25
27.321083249560232,28.282054057541178,28.03294944461462,0.05059650810028075,0.75,-428.5718969558144,25
27.321083249560232,28.282054057541178,28.03294944461462,0.05059650810028075,0.25,-431.2316704951532,25
27.321083249560232,28.282054057541178,28.03294944461462,0.05059650810028075,0,-406.396654813651,25
27.321083249560232,28.282054057541178,28.03294944461462,0.05059650810028075,0.05,-414.96596886143647,25
27.321083249560232,28.282054057541178,35.765723798132946,0.05059650810028075,1,-512.4750121276642,9
27.321083249560232,28.282054057541178,35.765723798132946,0.05059650810028075,0.75,-481.66308152408226,9
27.321083249560232,28.282054057541178,35.765723798132946,0.05059650810028075,0.25,-426.80105694816314,9
27.321083249560232,28.282054057541178,35.765723798132946,0.05059650810028075,0.5,-444.2075383935441,9
27.321083249560232,28.282054057541178,35.765723798132946,0.05059650810028075,0.05,-417.5542114578995,9
27.321083249560232,28.282054057541178,35.765723798132946,0.05059650810028075,0,-423.9156207454224,9
27.321083249560232,28.282054057541178,35.765723798132946,0.05082972318010115,0.25,-426.5934876388262,14
27.321083249560232,28.282054057541178,35.765723798132946,0.05082972318010115,0.5,-439.31698870874806,14
27.321083249560232,28.282054057541178,35.765723798132946,0.05082972318010115,0.75,-449.45516629617896,14
27.321083249560232,28.282054057541178,35.765723798132946,0.05082972318010115,0,-427.95243655113086,14
27.321083249560232,28.282054057541178,35.765723798132946,0.05082972318010115,1,-489.00976504552426,14
27.321083249560232,28.282054057541178,35.765723798132946,0.05082972318010115,0.05,-431.68086984300567,14
27.321083249560232,28.282054057541178,35.765723798132946,0.05093231410920818,0.5,-443.35664853712143,19
27.321083249560232,28.282054057541178,35.765723798132946,0.05093231410920818,1,-512.7497183205567,19
27.321083249560232,28.282054057541178,35.765723798132946,0.05093231410920818,0.05,-423.729268120055,19
27.321083249560232,28.282054057541178,35.765723798132946,0.05093231410920818,0.75,-459.7772582737722,19
27.321083249560232,28.282054057541178,35.765723798132946,0.05093231410920818,0.25,-422.3382906800224,19
27.321083249560232,28.282054057541178,35.765723798132946,0.05093231410920818,0,-423.215053308135,19
27.321083249560232,28.282054057541178,35.765723798132946,0.07064355537108136,0.75,-475.136644731546,18
27.321083249560232,28.282054057541178,35.765723798132946,0.07064355537108136,0.25,-425.6619169478739,18
27.321083249560232,28.282054057541178,35.765723798132946,0.07064355537108136,0.05,-431.0502997294885,18
27.321083249560232,28.282054057541178,35.765723798132946,0.07064355537108136,0,-434.917905071306,18
27.321083249560232,28.282054057541178,35.765723798132946,0.07064355537108136,1,-478.2306431768851,18
27.321083249560232,28.282054057541178,35.765723798132946,0.07064355537108136,0.5,-443.25712697259746,18
35.4708175876941,14.12939699161125,27.343771138802904,0.05056176191552725,0.75,-418.2372659664439,11
35.4708175876941,14.12939699161125,27.343771138802904,0.05056176191552725,1,-421.02884874381033,11
35.4708175876941,14.12939699161125,27.343771138802904,0.05056176191552725,0.05,-458.0171799375848,11
35.4708175876941,14.12939699161125,27.343771138802904,0.05056176191552725,0.25,-451.0203121842738,11
35.4708175876941,14.12939699161125,27.343771138802904,0.05056176191552725,0.5,-416.66265404258775,11
35.4708175876941,14.12939699161125,27.343771138802904,0.05056176191552725,0,-457.4785163686144,11
35.4708175876941,14.12939699161125,33.82171730504205,0.05056176191552725,0.25,-435.0874672159551,16
35.4708175876941,14.12939699161125,33.82171730504205,0.05056176191552725,1,-463.9025564595932,16
35.4708175876941,14.12939699161125,33.82171730504205,0.05056176191552725,0.75,-430.7492657221328,16
35.4708175876941,14.12939699161125,33.82171730504205,0.05056176191552725,0.05,-439.86011414182394,16
35.4708175876941,14.12939699161125,33.82171730504205,0.05056176191552725,0,-445.10386294229625,16
35.4708175876941,14.12939699161125,33.82171730504205,0.05056176191552725,0.5,-402.5018253380142,16
350.71589881476734,317.5433285213461,27.64310859149894,0.07661620911668585,0,-454.274975622504,20
350.71589881476734,317.5433285213461,27.64310859149894,0.07661620911668585,0.25,-480.4223768840744,20
350.71589881476734,317.5433285213461,27.64310859149894,0.07661620911668585,1,-544.3448717160662,20
350.71589881476734,317.5433285213461,27.64310859149894,0.07661620911668585,0.5,-478.82090859475807,20
350.71589881476734,317.5433285213461,27.64310859149894,0.07661620911668585,0.05,-469.9742957695863,20
350.71589881476734,317.5433285213461,27.64310859149894,0.07661620911668585,0.75,-496.90958254287176,20
48.10061929122604,21.915262330171497,25.173904863156807,0.05063262044348178,0.25,-428.6303098115936,8
48.10061929122604,21.915262330171497,25.173904863156807,0.05063262044348178,1,-438.0290098190929,8
48.10061929122604,21.915262330171497,25.173904863156807,0.05063262044348178,0,-471.29460279595446,8
48.10061929122604,21.915262330171497,25.173904863156807,0.05063262044348178,0.75,-409.5156787902577,8
48.10061929122604,21.915262330171497,25.173904863156807,0.05063262044348178,0.05,-459.0072911354775,8
48.10061929122604,21.915262330171497,25.173904863156807,0.05063262044348178,0.5,-428.4454351850131,8
48.10061929122604,21.915262330171497,26.347955773537336,0.05063262044348178,0.25,-443.3300347949074,13
48.10061929122604,21.915262330171497,26.347955773537336,0.05063262044348178,0,-460.65016645666094,13
48.10061929122604,21.915262330171497,26.347955773537336,0.05063262044348178,0.75,-429.41982007076206,13
48.10061929122604,21.915262330171497,26.347955773537336,0.05063262044348178,1,-446.4183969459718,13
48.10061929122604,21.915262330171497,26.347955773537336,0.05063262044348178,0.5,-435.5615974455644,13
48.10061929122604,21.915262330171497,26.347955773537336,0.05063262044348178,0.05,-485.0232938945472,13
48.560282897947715,61.39622947505895,23.880378027621457,0.05068815865722415,0.25,-424.4196884729338,10
48.560282897947715,61.39622947505895,23.880378027621457,0.05068815865722415,1,-470.63995043790226,10
48.560282897947715,61.39622947505895,23.880378027621457,0.05068815865722415,0.5,-425.0957429661698,10
48.560282897947715,61.39622947505895,23.880378027621457,0.05068815865722415,0,-435.3445220499857,10
48.560282897947715,61.39622947505895,23.880378027621457,0.05068815865722415,0.75,-406.0488502923619,10
48.560282897947715,61.39622947505895,23.880378027621457,0.05068815865722415,0.05,-453.8651194877647,10
52.832850006316185,72.37707300755028,22.513814276986285,0.06294704592203579,1,-476.5941300769055,6
52.832850006316185,72.37707300755028,22.513814276986285,0.06294704592203579,0.25,-441.13635966918247,6
52.832850006316185,72.37707300755028,22.513814276986285,0.06294704592203579,0,-458.37784361450394,6
52.832850006316185,72.37707300755028,22.513814276986285,0.06294704592203579,0.75,-456.7162814865037,6
52.832850006316185,72.37707300755028,22.513814276986285,0.06294704592203579,0.5,-452.3585922210734,6
52.832850006316185,72.37707300755028,22.513814276986285,0.06294704592203579,0.05,-469.8564211956302,6
53.50669312965388,28.282054057541178,35.765723798132946,0.05059650810028075,1,-491.91584513762257,21
53.50669312965388,28.282054057541178,35.765723798132946,0.05059650810028075,0.75,-455.6574095682576,21
53.50669312965388,28.282054057541178,35.765723798132946,0.05059650810028075,0.25,-440.1263162556186,21
53.50669312965388,28.282054057541178,35.765723798132946,0.05059650810028075,0,-433.7289422002284,21
53.50669312965388,28.282054057541178,35.765723798132946,0.05059650810028075,0.5,-408.1062797342945,21
53.50669312965388,28.282054057541178,35.765723798132946,0.05059650810028075,0.05,-420.0282781127326,21
54.65350739141901,61.39622947505895,23.880378027621457,0.05068815865722415,0.75,-406.5791986686568,15
54.65350739141901,61.39622947505895,23.880378027621457,0.05068815865722415,1,-472.3823686510709,15
54.65350739141901,61.39622947505895,23.880378027621457,0.05068815865722415,0.05,-426.19949115469257,15
54.65350739141901,61.39622947505895,23.880378027621457,0.05068815865722415,0.25,-430.16746419671534,15
54.65350739141901,61.39622947505895,23.880378027621457,0.05068815865722415,0.5,-424.66201536954424,15
54.65350739141901,61.39622947505895,23.880378027621457,0.05068815865722415,0,-428.2318974486274,15
61.07428530326597,41.77358310200571,25.713094038364208,0.05066003218421878,1,-436.580262418647,5
61.07428530326597,41.77358310200571,25.713094038364208,0.05066003218421878,0.5,-421.2205247088124,5
61.07428530326597,41.77358310200571,25.713094038364208,0.05066003218421878,0.75,-429.3899912523417,5
61.07428530326597,41.77358310200571,25.713094038364208,0.05066003218421878,0.25,-431.6440968219633,5
61.07428530326597,41.77358310200571,25.713094038364208,0.05066003218421878,0.05,-450.99809079139703,5
61.07428530326597,41.77358310200571,25.713094038364208,0.05066003218421878,0,-445.5418044479976,5
61.07428530326597,41.77358310200571,31.000808399059895,0.05066003218421878,0.75,-430.5446122832032,30
61.07428530326597,41.77358310200571,31.000808399059895,0.05066003218421878,0.05,-425.45416902743955,30
61.07428530326597,41.77358310200571,31.000808399059895,0.05066003218421878,0,-428.80580549597823,30
61.07428530326597,41.77358310200571,31.000808399059895,0.05066003218421878,0.25,-435.60439110572594,30
61.07428530326597,41.77358310200571,31.000808399059895,0.05066003218421878,0.5,-425.868927315613,30
61.07428530326597,41.77358310200571,31.000808399059895,0.05066003218421878,1,-460.4200536619799,30
61.07428530326597,41.77358310200571,33.548955441276334,0.05066003218421878,0.25,-430.6328666431155,29
61.07428530326597,41.77358310200571,33.548955441276334,0.05066003218421878,0.5,-428.0900206983543,29
61.07428530326597,41.77358310200571,33.548955441276334,0.05066003218421878,0.75,-453.1838426756964,29
61.07428530326597,41.77358310200571,33.548955441276334,0.05066003218421878,0,-423.6776569338353,29
61.07428530326597,41.77358310200571,33.548955441276334,0.05066003218421878,1,-500.5312735541063,29
61.07428530326597,41.77358310200571,33.548955441276334,0.05066003218421878,0.05,-425.9061134865816,29
8.179192386071678,10.915926723704056,30.212620448795917,0.05074899440144033,0.25,-414.4586994550919,7
8.179192386071678,10.915926723704056,30.212620448795917,0.05074899440144033,1,-480.67857071476607,7
8.179192386071678,10.915926723704056,30.212620448795917,0.05074899440144033,0.5,-420.9071457496536,7
8.179192386071678,10.915926723704056,30.212620448795917,0.05074899440144033,0.75,-437.5859849889689,7
8.179192386071678,10.915926723704056,30.212620448795917,0.05074899440144033,0,-416.4519991877053,7
8.179192386071678,10.915926723704056,30.212620448795917,0.05074899440144033,0.05,-411.7316197962677,7
8.179192386071678,3.6347509536405314,30.212620448795917,0.05074899440144033,0,-419.6839933101131,12
8.179192386071678,3.6347509536405314,30.212620448795917,0.05074899440144033,0.25,-416.9200861070764,12
8.179192386071678,3.6347509536405314,30.212620448795917,0.05074899440144033,1,-462.4190718033378,12
8.179192386071678,3.6347509536405314,30.212620448795917,0.05074899440144033,0.5,-412.63080071681605,12
8.179192386071678,3.6347509536405314,30.212620448795917,0.05074899440144033,0.05,-409.9528979343085,12
8.179192386071678,3.6347509536405314,30.212620448795917,0.05074899440144033,0.75,-406.85766101762664,12
117.4005256794313,33.25286038898563,15.316493300748371,0.05057948639798919,1.25,-470.43675680617145,17
117.4005256794313,78.70404730495457,15.316493300748371,0.05057948639798919,1.25,-459.65077100483495,3
12.519161703196286,10.915926723704056,30.212620448795917,0.05074899440144033,1.25,-511.5489005625379,2
122.7975976840149,124.407892423586,26.112446079236623,0.05067764248168376,1.25,-525.153442887404,22
122.7975976840149,124.407892423586,26.112446079236623,0.05097476652469653,1.25,-508.1001189794874,28
122.7975976840149,124.407892423586,26.112446079236623,0.07499979294873736,1.25,-530.9522413003672,1
14.799099452905564,9.824991417494411,39.22808176505046,0.05083321543404259,1.25,-521.9674615730997,4
165.40138158538352,117.67860064983071,17.907754840597626,0.05081157188415047,1.25,-492.6921404994216,26
18.901645580818823,13.018517620401395,33.10375088881762,0.06520293019119949,1.25,-520.7084211589188,23
19.05128798691664,19.96179715014726,33.096164873799005,0.08155337382491501,1.25,-539.054862208193,27
265.2993152507166,82.17269271943935,15.310283323987592,0.0506814057412551,1.25,-502.4842096777364,24
27.321083249560232,28.282054057541178,28.03294944461462,0.05059650810028075,1.25,-529.5350599570626,25
27.321083249560232,28.282054057541178,35.765723798132946,0.05059650810028075,1.25,-526.5209804665384,9
27.321083249560232,28.282054057541178,35.765723798132946,0.05082972318010115,1.25,-547.4599473205614,14
27.321083249560232,28.282054057541178,35.765723798132946,0.05093231410920818,1.25,-520.379787024304,19
27.321083249560232,28.282054057541178,35.765723798132946,0.07064355537108136,1.25,-564.940350425396,18
35.4708175876941,14.12939699161125,27.343771138802904,0.05056176191552725,1.25,-492.9483172925181,11
35.4708175876941,14.12939699161125,33.82171730504205,0.05056176191552725,1.25,-529.0954049248433,16
350.71589881476734,317.5433285213461,27.64310859149894,0.07661620911668585,1.25,-582.225424055401,20
48.10061929122604,21.915262330171497,25.173904863156807,0.05063262044348178,1.25,-469.64541949773223,8
48.10061929122604,21.915262330171497,26.347955773537336,0.05063262044348178,1.25,-508.5416409630659,13
48.560282897947715,61.39622947505895,23.880378027621457,0.05068815865722415,1.25,-484.64176748918663,10
52.832850006316185,72.37707300755028,22.513814276986285,0.06294704592203579,1.25,-508.1492093203594,6
53.50669312965388,28.282054057541178,35.765723798132946,0.05059650810028075,1.25,-545.1907961170355,21
54.65350739141901,61.39622947505895,23.880378027621457,0.05068815865722415,1.25,-526.8987999709827,15
61.07428530326597,41.77358310200571,25.713094038364208,0.05066003218421878,1.25,-488.1671269272485,5
61.07428530326597,41.77358310200571,31.000808399059895,0.05066003218421878,1.25,-523.4359125861616,30
61.07428530326597,41.77358310200571,33.548955441276334,0.05066003218421878,1.25,-548.0531067284637,29
8.179192386071678,10.915926723704056,30.212620448795917,0.05074899440144033,1.25,-514.7412571252479,7
8.179192386071678,3.6347509536405314,30.212620448795917,0.05074899440144033,1.25,-477.1659411017811,12
