sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,sigma,ll,pset
112.52968884848808,112.52968884848808,31.795833887502113,31.795833887502113,32.910986708490164,0.10086693627787266,0.5,-460.99206051375216,1
112.52968884848808,112.52968884848808,31.795833887502113,31.795833887502113,32.910986708490164,0.10086693627787266,0.25,-464.71528391584735,1
112.52968884848808,112.52968884848808,31.795833887502113,31.795833887502113,32.910986708490164,0.10086693627787266,1,-485.92530823234085,1
112.52968884848808,112.52968884848808,31.795833887502113,31.795833887502113,32.910986708490164,0.10086693627787266,0,-481.63819124045284,1
112.52968884848808,112.52968884848808,31.795833887502113,31.795833887502113,32.910986708490164,0.10086693627787266,0.75,-468.6016922425749,1
112.52968884848808,112.52968884848808,31.795833887502113,31.795833887502113,32.910986708490164,0.10086693627787266,0.05,-490.7541525499523,1
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,15.454770360109244,0.10155237806952494,1,-473.44354425220274,18
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,15.454770360109244,0.10155237806952494,0.25,-494.4945414092595,18
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,15.454770360109244,0.10155237806952494,0,-539.7856911059233,18
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,15.454770360109244,0.10155237806952494,0.75,-470.3111991419987,18
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,15.454770360109244,0.10155237806952494,0.5,-466.08938189535615,18
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,15.454770360109244,0.10155237806952494,0.05,-533.3699176356475,18
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,17.825851313508213,0.10155237806952494,0.75,-469.39110522700014,4
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,17.825851313508213,0.10155237806952494,0.5,-458.4473849780008,4
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,17.825851313508213,0.10155237806952494,0,-520.1093096246848,4
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,17.825851313508213,0.10155237806952494,1,-474.7462616968554,4
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,17.825851313508213,0.10155237806952494,0.05,-513.9926055170836,4
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,17.825851313508213,0.10155237806952494,0.25,-498.6897911972995,4
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,20.560705053986723,0.10155237806952494,1,-480.4480266755858,29
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,20.560705053986723,0.10155237806952494,0.5,-465.21419323741895,29
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,20.560705053986723,0.10155237806952494,0.25,-496.3213739082647,29
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,20.560705053986723,0.10155237806952494,0.05,-516.0275154759239,29
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,20.560705053986723,0.10155237806952494,0.75,-464.64483847570995,29
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,20.560705053986723,0.10155237806952494,0,-514.8644384031693,29
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,25.67294178064987,0.10155237806952494,1,-482.915673186165,13
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,25.67294178064987,0.10155237806952494,0.5,-461.1861639239719,13
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,25.67294178064987,0.10155237806952494,0.75,-462.79499292522286,13
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,25.67294178064987,0.10155237806952494,0.25,-488.7657896614164,13
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,25.67294178064987,0.10155237806952494,0,-501.1853469763386,13
214.60018844011873,214.60018844011873,63.20965617462561,63.20965617462561,25.67294178064987,0.10155237806952494,0.05,-495.325750956011,13
215.5940832665274,215.5940832665274,60.61200025861143,60.61200025861143,17.818712597080495,0.10100690032465892,1,-478.773375537291,23
215.5940832665274,215.5940832665274,60.61200025861143,60.61200025861143,17.818712597080495,0.10100690032465892,0.75,-466.2881352007657,23
215.5940832665274,215.5940832665274,60.61200025861143,60.61200025861143,17.818712597080495,0.10100690032465892,0.25,-498.30125301951034,23
215.5940832665274,215.5940832665274,60.61200025861143,60.61200025861143,17.818712597080495,0.10100690032465892,0.5,-452.649242288901,23
215.5940832665274,215.5940832665274,60.61200025861143,60.61200025861143,17.818712597080495,0.10100690032465892,0.05,-516.8797332008976,23
215.5940832665274,215.5940832665274,60.61200025861143,60.61200025861143,17.818712597080495,0.10100690032465892,0,-521.548335742282,23
215.5940832665274,215.5940832665274,60.61200025861143,60.61200025861143,17.972846304846353,0.10100690032465892,0.25,-492.3436760578515,7
215.5940832665274,215.5940832665274,60.61200025861143,60.61200025861143,17.972846304846353,0.10100690032465892,0.5,-462.5941645944592,7
215.5940832665274,215.5940832665274,60.61200025861143,60.61200025861143,17.972846304846353,0.10100690032465892,0.75,-461.4417278442972,7
215.5940832665274,215.5940832665274,60.61200025861143,60.61200025861143,17.972846304846353,0.10100690032465892,0,-521.6329654050915,7
215.5940832665274,215.5940832665274,60.61200025861143,60.61200025861143,17.972846304846353,0.10100690032465892,1,-476.9709450079847,7
215.5940832665274,215.5940832665274,60.61200025861143,60.61200025861143,17.972846304846353,0.10100690032465892,0.05,-516.0129098223342,7
215.5940832665274,215.5940832665274,60.61200025861143,60.61200025861143,21.534304767466317,0.10100690032465892,0.5,-459.4645333534792,22
