sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,pset,sigma,ll
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,9,0,-352.72398395051613
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,9,0.05,-354.26425745870597
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,9,0.25,-299.4960312684591
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,9,0.75,-321.7621712999878
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,9,0.5,-297.61602345960097
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,9,1,-339.80879519509233
5.2609610129137e-4,1010.4420977868912,0.3697223094223398,470.9318504527296,33.14188482564106,0.4946420844858169,29,0.05,-315.64381857584385
5.2609610129137e-4,1010.4420977868912,0.3697223094223398,470.9318504527296,33.14188482564106,0.4946420844858169,29,0,-331.60555411695805
5.2609610129137e-4,1010.4420977868912,0.3697223094223398,470.9318504527296,33.14188482564106,0.4946420844858169,29,0.5,-310.7157093326809
5.2609610129137e-4,1010.4420977868912,0.3697223094223398,470.9318504527296,33.14188482564106,0.4946420844858169,29,0.25,-305.27106468560265
5.2609610129137e-4,1010.4420977868912,0.3697223094223398,470.9318504527296,33.14188482564106,0.4946420844858169,29,1,-416.15070658206287
5.2609610129137e-4,1010.4420977868912,0.3697223094223398,470.9318504527296,33.14188482564106,0.4946420844858169,29,0.75,-351.74670054393056
5.3157814098944e-4,881.9177641104773,0.42404874923480423,341.8854722896258,35.46161277999789,0.4728467907680251,21,0.25,-330.5694693852231
5.3157814098944e-4,881.9177641104773,0.42404874923480423,341.8854722896258,35.46161277999789,0.4728467907680251,21,1,-424.83421073113885
5.3157814098944e-4,881.9177641104773,0.42404874923480423,341.8854722896258,35.46161277999789,0.4728467907680251,21,0.5,-326.88033455148803
5.3157814098944e-4,881.9177641104773,0.42404874923480423,341.8854722896258,35.46161277999789,0.4728467907680251,21,0.75,-365.28015704664637
5.3157814098944e-4,881.9177641104773,0.42404874923480423,341.8854722896258,35.46161277999789,0.4728467907680251,21,0.05,-349.3313684048528
5.3157814098944e-4,881.9177641104773,0.42404874923480423,341.8854722896258,35.46161277999789,0.4728467907680251,21,0,-359.3638427039473
5.3157814098944e-4,925.3084252901782,0.2535235724357113,341.8854722896258,35.46161277999789,0.4728467907680251,28,0,-358.93025972363506
5.3157814098944e-4,925.3084252901782,0.2535235724357113,341.8854722896258,35.46161277999789,0.4728467907680251,28,0.25,-320.7749685642856
5.3157814098944e-4,925.3084252901782,0.2535235724357113,341.8854722896258,35.46161277999789,0.4728467907680251,28,0.05,-357.02826375542656
5.3157814098944e-4,925.3084252901782,0.2535235724357113,341.8854722896258,35.46161277999789,0.4728467907680251,28,1,-411.030841275752
5.3157814098944e-4,925.3084252901782,0.2535235724357113,341.8854722896258,35.46161277999789,0.4728467907680251,28,0.5,-324.10491260513294
5.3157814098944e-4,925.3084252901782,0.2535235724357113,341.8854722896258,35.46161277999789,0.4728467907680251,28,0.75,-353.813524830371
5.3157814098944e-4,925.3084252901782,0.42404874923480423,341.8854722896258,35.46161277999789,0.4728467907680251,13,0.25,-326.7540411890196
5.3157814098944e-4,925.3084252901782,0.42404874923480423,341.8854722896258,35.46161277999789,0.4728467907680251,13,0.5,-325.2665560713183
5.3157814098944e-4,925.3084252901782,0.42404874923480423,341.8854722896258,35.46161277999789,0.4728467907680251,13,0.75,-355.04965352176345
5.3157814098944e-4,925.3084252901782,0.42404874923480423,341.8854722896258,35.46161277999789,0.4728467907680251,13,1,-423.87800686307446
5.3157814098944e-4,925.3084252901782,0.42404874923480423,341.8854722896258,35.46161277999789,0.4728467907680251,13,0,-346.4750397897953
5.3157814098944e-4,925.3084252901782,0.42404874923480423,341.8854722896258,35.46161277999789,0.4728467907680251,13,0.05,-343.95064832951834
6.6507408388005e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,3,0,-354.7241870101837
6.6507408388005e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,3,0.5,-295.3754913651399
6.6507408388005e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,3,1,-361.083436941429
6.6507408388005e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,3,0.75,-312.01279351146036
6.6507408388005e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,3,0.05,-338.0958879958067
6.6507408388005e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,3,0.25,-306.3874349319435
6.7286631475942e-4,925.3084252901782,0.42404874923480423,341.8854722896258,34.40301778536122,0.4728467907680251,30,0.5,-321.74509031993483
6.7286631475942e-4,925.3084252901782,0.42404874923480423,341.8854722896258,34.40301778536122,0.4728467907680251,30,0.05,-352.34182204834167
6.7286631475942e-4,925.3084252901782,0.42404874923480423,341.8854722896258,34.40301778536122,0.4728467907680251,30,1,-419.3812519762125
6.7286631475942e-4,925.3084252901782,0.42404874923480423,341.8854722896258,34.40301778536122,0.4728467907680251,30,0,-358.6714270283139
