sS,sM,phi,rho,pdoug,sigma,mean_MNPV,sd,q1,q9,sS_DO,sS_GR,sM_DO,sM_GR,pset
117.4005256794313,33.25286038898563,15.316493300748371,0.05057948639798919,18,0.75,0.45896351270497365,0.03970091486988379,0.38142949223549605,0.5364361067956874,NA,NA,NA,NA,17
117.4005256794313,33.25286038898563,15.316493300748371,0.05057948639798919,18,0.05,0.43314315736983505,0.015112521868305006,0.4042757249057834,0.4644975951125373,NA,NA,NA,NA,17
117.4005256794313,33.25286038898563,15.316493300748371,0.05057948639798919,18,0.5,0.47777730776584537,0.03463695741912548,0.41665093534928266,0.5529610853807656,NA,NA,NA,NA,17
117.4005256794313,33.25286038898563,15.316493300748371,0.05057948639798919,18,0,0.43305462136413075,0.015629157658278048,0.4016749965182329,0.46314182610781085,NA,NA,NA,NA,17
117.4005256794313,33.25286038898563,15.316493300748371,0.05057948639798919,18,0.25,0.4694334027124098,0.04076380507669373,0.4139083583790741,0.5782013378248079,NA,NA,NA,NA,17
117.4005256794313,78.70404730495457,15.316493300748371,0.05057948639798919,18,0,0.526750212355542,0.03929248374903612,0.4812785254341472,0.6327738387742006,NA,NA,NA,NA,3
117.4005256794313,78.70404730495457,15.316493300748371,0.05057948639798919,18,0.05,0.5352395626459123,0.0478028904617127,0.47877824635043986,0.6630300460818305,NA,NA,NA,NA,3
117.4005256794313,78.70404730495457,15.316493300748371,0.05057948639798919,18,0.5,0.5272689930594041,0.037722410342698236,0.4535883101372481,0.6049061151013503,NA,NA,NA,NA,3
117.4005256794313,78.70404730495457,15.316493300748371,0.05057948639798919,18,0.75,0.5057846532647784,0.04693708055537584,0.39082326430864445,0.5847963037486285,NA,NA,NA,NA,3
117.4005256794313,78.70404730495457,15.316493300748371,0.05057948639798919,18,0.25,0.5521465901326176,0.046145678038243106,0.4842890412446487,0.657813983987372,NA,NA,NA,NA,3
12.519161703196286,10.915926723704056,30.212620448795917,0.05074899440144033,18,0.05,0.4915403428682968,0.056134831061291336,0.36794624998600933,0.6146658416099015,NA,NA,NA,NA,2
12.519161703196286,10.915926723704056,30.212620448795917,0.05074899440144033,18,0.75,0.4849804589497085,0.09185963865378408,0.3175881988157492,0.6940627311623411,NA,NA,NA,NA,2
12.519161703196286,10.915926723704056,30.212620448795917,0.05074899440144033,18,0.25,0.49220899946068014,0.06330236048514555,0.350674741453546,0.6321456907118612,NA,NA,NA,NA,2
12.519161703196286,10.915926723704056,30.212620448795917,0.05074899440144033,18,0.5,0.48792853831134314,0.0744781500735555,0.33246412888904076,0.6537431599612892,NA,NA,NA,NA,2
12.519161703196286,10.915926723704056,30.212620448795917,0.05074899440144033,18,0,0.493675983784957,0.056116266725805504,0.37019922820764717,0.6128951962399034,NA,NA,NA,NA,2
122.7975976840149,124.407892423586,26.112446079236623,0.05067764248168376,18,0.05,0.514411349455981,0.047381793601375614,0.3985834885833372,0.5976954966098696,NA,NA,NA,NA,22
122.7975976840149,124.407892423586,26.112446079236623,0.05067764248168376,18,0.75,0.5039360774617082,0.08117526198983258,0.3472865102537995,0.6862121147982986,NA,NA,NA,NA,22
122.7975976840149,124.407892423586,26.112446079236623,0.05067764248168376,18,0.5,0.506145363701615,0.06606658868901495,0.3683981403364884,0.6463013781028483,NA,NA,NA,NA,22
122.7975976840149,124.407892423586,26.112446079236623,0.05067764248168376,18,0,0.5164621110112382,0.046578886983643666,0.4139139569963015,0.6116903019549705,NA,NA,NA,NA,22
122.7975976840149,124.407892423586,26.112446079236623,0.05067764248168376,18,0.25,0.5114282258254752,0.053437223163621234,0.3940963257836017,0.6170924384481346,NA,NA,NA,NA,22
122.7975976840149,124.407892423586,26.112446079236623,0.05097476652469653,18,0,0.515952018104701,0.04765275781411913,0.40410425407601813,0.6076316696592099,NA,NA,NA,NA,28
122.7975976840149,124.407892423586,26.112446079236623,0.05097476652469653,18,0.75,0.5067640636787856,0.07950169246559875,0.3442191531022482,0.6796353102337078,NA,NA,NA,NA,28
122.7975976840149,124.407892423586,26.112446079236623,0.05097476652469653,18,0.25,0.5101932815157302,0.05460979148345697,0.3835312257949047,0.6191410862838255,NA,NA,NA,NA,28
122.7975976840149,124.407892423586,26.112446079236623,0.05097476652469653,18,0.05,0.5136151444187653,0.0470936565058944,0.4000830267301822,0.5989851845410479,NA,NA,NA,NA,28
122.7975976840149,124.407892423586,26.112446079236623,0.05097476652469653,18,0.5,0.5089222061767459,0.0654772227080158,0.3674294279790256,0.6428133965249146,NA,NA,NA,NA,28
122.7975976840149,124.407892423586,26.112446079236623,0.07499979294873736,18,0,0.538400355782832,0.03453452367896279,0.4742266736075407,0.6126645898725384,NA,NA,NA,NA,1
122.7975976840149,124.407892423586,26.112446079236623,0.07499979294873736,18,0.75,0.5276012638948006,0.0583914433975029,0.4039604944841597,0.6533484204018565,NA,NA,NA,NA,1
122.7975976840149,124.407892423586,26.112446079236623,0.07499979294873736,18,0.05,0.53890025348776,0.036191776985480546,0.46848098373902813,0.615307997965556,NA,NA,NA,NA,1
122.7975976840149,124.407892423586,26.112446079236623,0.07499979294873736,18,0.5,0.530816208487326,0.04703921779512815,0.42640617518962715,0.626128557334334,NA,NA,NA,NA,1
122.7975976840149,124.407892423586,26.112446079236623,0.07499979294873736,18,0.25,0.5365097707694446,0.03875111548731275,0.4459422948688113,0.609409568582801,NA,NA,NA,NA,1
14.799099452905564,9.824991417494411,39.22808176505046,0.05083321543404259,18,0.5,0.4684962854360328,0.08433980847600815,0.31480969865360803,0.6518331046510699,NA,NA,NA,NA,4
