LL,id,quality,rep,pdoug,extinct_S,extinct_M,mean_pMNPV,phi,rho,sigma
0.46881621585881916,76,1,1,19,0,0,0.5311837841411808,56.075517206921155,0.0102281673560298,0.5
0.5311837841411808,43,1,1,19,0,0,0.5311837841411808,56.075517206921155,0.0102281673560298,0.5
0.4756192142904768,76,1,2,19,0,0,0.5243807857095232,56.075517206921155,0.0102281673560298,0.5
0.5243807857095232,43,1,2,19,0,0,0.5243807857095232,56.075517206921155,0.0102281673560298,0.5
0.44938538913498194,76,1,3,19,0,0,0.5506146108650181,56.075517206921155,0.0102281673560298,0.5
0.5506146108650181,43,1,3,19,0,0,0.5506146108650181,56.075517206921155,0.0102281673560298,0.5
0.45775629949410357,76,1,4,19,0,0,0.5422437005058964,56.075517206921155,0.0102281673560298,0.5
0.5422437005058964,43,1,4,19,0,0,0.5422437005058964,56.075517206921155,0.0102281673560298,0.5
0.4546544032414902,76,1,5,19,0,0,0.5453455967585098,56.075517206921155,0.0102281673560298,0.5
0.5453455967585098,43,1,5,19,0,0,0.5453455967585098,56.075517206921155,0.0102281673560298,0.5
0.4536470841642579,76,1,6,19,0,0,0.5463529158357421,56.075517206921155,0.0102281673560298,0.5
0.5463529158357421,43,1,6,19,0,0,0.5463529158357421,56.075517206921155,0.0102281673560298,0.5
0.45379832759928895,76,1,7,19,0,0,0.546201672400711,56.075517206921155,0.0102281673560298,0.5
0.546201672400711,43,1,7,19,0,0,0.546201672400711,56.075517206921155,0.0102281673560298,0.5
0.46749772043327,76,1,8,19,0,0,0.53250227956673,56.075517206921155,0.0102281673560298,0.5
0.53250227956673,43,1,8,19,0,0,0.53250227956673,56.075517206921155,0.0102281673560298,0.5
0.4595889575088995,76,1,9,19,0,0,0.5404110424911005,56.075517206921155,0.0102281673560298,0.5
0.5404110424911005,43,1,9,19,0,0,0.5404110424911005,56.075517206921155,0.0102281673560298,0.5
0.4585900509967926,76,1,10,19,0,0,0.5414099490032074,56.075517206921155,0.0102281673560298,0.5
0.5414099490032074,43,1,10,19,0,0,0.5414099490032074,56.075517206921155,0.0102281673560298,0.5
