sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,ll,round,type,iter
9.103101776159232e-4,1596.7571819187426,7.34389291599209,63.29907222600454,15.244869943642655,0.100600309546452,-303.4362002662541,23,tried,171
5.36531387488712e-4,752.7343647396274,1.2443973085021145,68.50359333973209,28.704974815020645,0.10079003333155176,-305.10347569077527,10,tried,202
5.36531387488712e-4,752.7343647396274,1.2443973085021145,115.52773417705896,28.704974815020645,0.10079003333155176,-308.6238467156961,10,tried,187
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,-308.78893053464253,12,tried,186
5.36531387488712e-4,752.7343647396274,0.8794148280399551,115.52773417705896,28.704974815020645,0.10079003333155176,-310.0896601914967,10,tried,150
2.1821649114616256e-4,1493.5309389106112,8.527774665052094,104.51940102037725,20.236878023659703,0.1005986674206291,-312.6581842653706,12,tried,128
0.00605730836478494,752.7343647396274,0.8794148280399551,115.52773417705896,28.704974815020645,0.10079003333155176,-314.75188688873476,10,tried,101
0.0037436917020642,752.7343647396274,0.8794148280399551,115.52773417705896,28.704974815020645,0.10079003333155176,-315.4462853815117,10,tried,151
9.103101776159232e-4,1596.7571819187426,7.34389291599209,60.8006894889097,15.244869943642655,0.100600309546452,-316.61436158280503,23,tried,93
5.36531387488712e-4,752.7343647396274,0.7553278294984319,115.52773417705896,28.704974815020645,0.10079003333155176,-317.1993992859834,10,tried,186
5.757389105763798e-4,1577.5790223278564,5.333357409204284,74.94873258729476,30.119844387494663,0.10089790093557728,-319.68624423260854,7,tried,148
5.36531387488712e-4,752.7343647396274,0.8794148280399551,115.52773417705896,29.90496492564503,0.10079003333155176,-320.5574508585537,10,tried,176
1.1162789269460272e-5,1493.5309389106112,8.527774665052094,104.51940102037725,20.236878023659703,0.1005986674206291,-320.8600604363357,12,tried,129
0.00605730836478494,752.7343647396274,0.8794148280399551,138.62517521984586,28.704974815020645,0.10079003333155176,-321.0909450072937,10,tried,133
9.103101776159232e-4,1596.7571819187426,7.34389291599209,60.8006894889097,24.069569591517286,0.100600309546452,-321.60836669870685,23,tried,118
0.00820609045909533,1493.5309389106112,8.527774665052094,104.51940102037725,20.236878023659703,0.1005986674206291,-322.0581215333953,12,tried,132
9.103101776159232e-4,1596.7571819187426,7.34389291599209,183.83924510766576,15.244869943642655,0.100600309546452,-323.17386303171105,23,tried,172
9.103101776159232e-4,1596.7571819187426,7.34389291599209,63.29907222600454,15.244869943642655,0.12444989538213096,-323.2297387435364,23,tried,187
8.726194549249489e-4,2181.489950012244,4.496806872818742,85.5339919573986,25.653820574101925,0.11321195241884284,-324.12287631785915,17,tried,126
2.1821649114616256e-4,1493.5309389106112,8.527774665052094,86.13719261693691,20.236878023659703,0.1005986674206291,-324.2825738581825,12,tried,155
2.1821649114616256e-4,1940.7019696059592,8.527774665052094,104.51940102037725,20.236878023659703,0.1005986674206291,-324.87390771375766,12,tried,98
0.6703410802794636,1596.7571819187426,7.34389291599209,60.8006894889097,15.244869943642655,0.100600309546452,-325.0205159437261,23,tried,96
0.5320401017409339,403.90008120113714,2.6728736909067616,13.925229780862631,11.61445304876688,0.1304331162118282,-325.1670768440609,13,tried,187
9.103101776159232e-4,1596.7571819187426,7.34389291599209,60.8006894889097,18.003754952493402,0.100600309546452,-325.48421525672387,23,tried,116
2.1821649114616256e-4,1493.5309389106112,8.527774665052094,104.51940102037725,24.629536413867488,0.1005986674206291,-325.5185617989925,12,tried,142
0.5320401017409339,403.90008120113714,2.6728736909067616,20.689060865214888,11.61445304876688,0.1304331162118282,-326.15263148976396,13,tried,206
0.00179293751042655,357.3262315234847,3.4208998066674132,9.07429098514282,28.8727885277433,0.20387723390070264,-326.5039780590989,6,tried,59
5.757389105763798e-4,1577.5790223278564,5.333357409204284,74.94873258729476,25.33139863809252,0.10089790093557728,-326.55822439585705,7,tried,193
2.1821649114616256e-4,1493.5309389106112,8.527774665052094,104.51940102037725,20.60345961992523,0.1005986674206291,-326.7758872783819,12,tried,141
5.36531387488712e-4,752.7343647396274,0.8794148280399551,115.52773417705896,28.704974815020645,0.10073859918823552,-326.83041820158786,10,tried,157
