sS,sM,phi,rho,ll,round,type,iter
122.7975976840149,124.407892423586,26.112446079236623,0.07499979294873736,-404.15678641554865,15,tried,96
12.519161703196286,10.915926723704056,30.212620448795917,0.05074899440144033,-414.44833150272905,7,tried,143
117.4005256794313,78.70404730495457,15.316493300748371,0.05057948639798919,-415.0066665276011,23,tried,92
14.799099452905564,9.824991417494411,39.22808176505046,0.05083321543404259,-417.2774973033731,30,tried,92
61.07428530326597,41.77358310200571,25.713094038364208,0.05066003218421878,-418.6397898282876,5,tried,66
52.832850006316185,72.37707300755028,22.513814276986285,0.06294704592203579,-419.6761457305743,28,tried,111
8.179192386071678,10.915926723704056,30.212620448795917,0.05074899440144033,-420.95598559378874,7,tried,57
48.10061929122604,21.915262330171497,25.173904863156807,0.05063262044348178,-421.0395289394432,13,tried,85
27.321083249560232,28.282054057541178,35.765723798132946,0.05059650810028075,-422.3676792814244,36,tried,64
48.560282897947715,61.39622947505895,23.880378027621457,0.05068815865722415,-422.5347329171357,29,tried,50
35.4708175876941,14.12939699161125,27.343771138802904,0.05056176191552725,-423.8349250297459,16,tried,93
8.179192386071678,3.6347509536405314,30.212620448795917,0.05074899440144033,-424.68112625132545,7,tried,130
48.10061929122604,21.915262330171497,26.347955773537336,0.05063262044348178,-425.12673082991046,13,tried,122
27.321083249560232,28.282054057541178,35.765723798132946,0.05082972318010115,-425.1949704504306,36,tried,67
54.65350739141901,61.39622947505895,23.880378027621457,0.05068815865722415,-425.66976194018355,29,tried,101
35.4708175876941,14.12939699161125,33.82171730504205,0.05056176191552725,-426.1703685009369,16,tried,37
117.4005256794313,33.25286038898563,15.316493300748371,0.05057948639798919,-426.65176913225577,23,tried,57
27.321083249560232,28.282054057541178,35.765723798132946,0.07064355537108136,-427.94015143726574,36,tried,68
27.321083249560232,28.282054057541178,35.765723798132946,0.05093231410920818,-429.58370857429543,36,tried,122
350.71589881476734,317.5433285213461,27.64310859149894,0.07661620911668585,-431.36993044541225,2,tried,5
53.50669312965388,28.282054057541178,35.765723798132946,0.05059650810028075,-433.209770196183,36,tried,119
122.7975976840149,124.407892423586,26.112446079236623,0.05067764248168376,-433.84937800902776,15,tried,88
18.901645580818823,13.018517620401395,33.10375088881762,0.06520293019119949,-434.7840271545286,37,tried,124
265.2993152507166,82.17269271943935,15.310283323987592,0.0506814057412551,-434.9276720536136,1,tried,58
27.321083249560232,28.282054057541178,28.03294944461462,0.05059650810028075,-434.9406123422231,36,tried,84
165.40138158538352,117.67860064983071,17.907754840597626,0.05081157188415047,-435.031510449353,3,tried,116
19.05128798691664,19.96179715014726,33.096164873799005,0.08155337382491501,-435.17541283766326,38,tried,113
122.7975976840149,124.407892423586,26.112446079236623,0.05097476652469653,-435.393069953149,15,tried,95
61.07428530326597,41.77358310200571,33.548955441276334,0.05066003218421878,-435.8584123021512,5,tried,48
61.07428530326597,41.77358310200571,31.000808399059895,0.05066003218421878,-436.0184241386865,5,tried,67
