Species,Year,Column1,rep,pdoug,type,pd
nu1,79,0.00246486530589125,1,18,SNPV only,50% Douglas-fir
nu1,80,0.01729535100891447,1,18,SNPV only,50% Douglas-fir
nu1,81,0.13265841542102846,1,18,SNPV only,50% Douglas-fir
nu1,82,0.7807362493540844,1,18,SNPV only,50% Douglas-fir
nu1,83,0.39174062780270674,1,18,SNPV only,50% Douglas-fir
nu1,84,0.01173374036091519,1,18,SNPV only,50% Douglas-fir
nu1,85,7.275216706428085e-4,1,18,SNPV only,50% Douglas-fir
nu1,86,4.876602203694157e-4,1,18,SNPV only,50% Douglas-fir
nu1,87,0.0012548600447776,1,18,SNPV only,50% Douglas-fir
nu1,88,0.00812805500480247,1,18,SNPV only,50% Douglas-fir
nu1,89,0.07161319573668154,1,18,SNPV only,50% Douglas-fir
nu1,90,0.5416183101930186,1,18,SNPV only,50% Douglas-fir
nu1,91,2.6619841149343246,1,18,SNPV only,50% Douglas-fir
nu1,92,0.15663608673142154,1,18,SNPV only,50% Douglas-fir
nu1,93,0.00343442154507022,1,18,SNPV only,50% Douglas-fir
nu1,94,5.343070898281812e-4,1,18,SNPV only,50% Douglas-fir
nu1,95,8.472193703457519e-4,1,18,SNPV only,50% Douglas-fir
nu1,96,0.00413248285281368,1,18,SNPV only,50% Douglas-fir
nu1,97,0.03473989839938961,1,18,SNPV only,50% Douglas-fir
nu1,98,0.27200163802871224,1,18,SNPV only,50% Douglas-fir
nu1,99,0.7442705429842427,1,18,SNPV only,50% Douglas-fir
nu1,100,0.04212221336516024,1,18,SNPV only,50% Douglas-fir
nu1,101,0.00112164149757908,1,18,SNPV only,50% Douglas-fir
nu1,102,6.994183647268598e-4,1,18,SNPV only,50% Douglas-fir
nu1,103,0.00168203374795463,1,18,SNPV only,50% Douglas-fir
nu1,104,0.00924536690639102,1,18,SNPV only,50% Douglas-fir
nu1,105,0.0653814051335513,1,18,SNPV only,50% Douglas-fir
nu1,106,0.2821174192779202,1,18,SNPV only,50% Douglas-fir
nu1,107,0.06599612459543217,1,18,SNPV only,50% Douglas-fir
nu1,108,0.00380635463742765,1,18,SNPV only,50% Douglas-fir
nu1,109,0.00194521582559114,1,18,SNPV only,50% Douglas-fir
nu1,110,0.00525943815400544,1,18,SNPV only,50% Douglas-fir
nu1,111,0.02979075277093364,1,18,SNPV only,50% Douglas-fir
nu1,112,0.17392263120645635,1,18,SNPV only,50% Douglas-fir
nu1,113,0.22809082428584607,1,18,SNPV only,50% Douglas-fir
nu1,114,0.01262159074921169,1,18,SNPV only,50% Douglas-fir
nu1,115,6.738896570830612e-4,1,18,SNPV only,50% Douglas-fir
nu1,116,8.402367965229645e-4,1,18,SNPV only,50% Douglas-fir
nu1,117,0.0035188606560522598,1,18,SNPV only,50% Douglas-fir
nu1,118,0.02752126700313148,1,18,SNPV only,50% Douglas-fir
nu1,119,0.21360555784311144,1,18,SNPV only,50% Douglas-fir
nu1,120,0.8923517331220613,1,18,SNPV only,50% Douglas-fir
nu1,121,0.1586599716627132,1,18,SNPV only,50% Douglas-fir
nu1,122,0.00723837304915293,1,18,SNPV only,50% Douglas-fir
nu1,123,0.0021405013627312,1,18,SNPV only,50% Douglas-fir
nu1,124,0.00442590838401602,1,18,SNPV only,50% Douglas-fir
nu1,125,0.02108980666287763,1,18,SNPV only,50% Douglas-fir
nu1,126,0.11377399548728884,1,18,SNPV only,50% Douglas-fir
nu1,127,0.372435087422646,1,18,SNPV only,50% Douglas-fir
nu1,128,0.090384769604686,1,18,SNPV only,50% Douglas-fir
nu1,129,0.00484581548862462,1,18,SNPV only,50% Douglas-fir
nu1,130,0.00136220641910233,1,18,SNPV only,50% Douglas-fir
nu1,131,0.00217042339231556,1,18,SNPV only,50% Douglas-fir
nu1,132,0.00938875527311922,1,18,SNPV only,50% Douglas-fir
nu1,133,0.05237858585885431,1,18,SNPV only,50% Douglas-fir
nu1,134,0.15069242580575937,1,18,SNPV only,50% Douglas-fir
nu1,135,0.06749642170421781,1,18,SNPV only,50% Douglas-fir
nu1,136,0.0043044030052931,1,18,SNPV only,50% Douglas-fir
nu1,137,7.171823605513972e-4,1,18,SNPV only,50% Douglas-fir
nu1,138,0.00126353195880477,1,18,SNPV only,50% Douglas-fir
nu1,139,0.00664146703312855,1,18,SNPV only,50% Douglas-fir
nu1,140,0.05107866912587519,1,18,SNPV only,50% Douglas-fir
nu1,141,0.26563567837911056,1,18,SNPV only,50% Douglas-fir
nu1,142,0.19767464012085015,1,18,SNPV only,50% Douglas-fir
nu1,143,0.01679469312831219,1,18,SNPV only,50% Douglas-fir
nu1,144,0.00204649200243805,1,18,SNPV only,50% Douglas-fir
nu1,145,0.00384026213861254,1,18,SNPV only,50% Douglas-fir
nu1,146,0.01966238247902644,1,18,SNPV only,50% Douglas-fir
nu1,147,0.11693790940755217,1,18,SNPV only,50% Douglas-fir
nu1,148,0.45572656941086825,1,18,SNPV only,50% Douglas-fir
nu1,149,0.07573398093899596,1,18,SNPV only,50% Douglas-fir
nu1,150,0.00265259013793855,1,18,SNPV only,50% Douglas-fir
nu1,151,4.5640780689667614e-4,1,18,SNPV only,50% Douglas-fir
nu1,152,6.734134535351436e-4,1,18,SNPV only,50% Douglas-fir
nu1,153,0.00299999647616396,1,18,SNPV only,50% Douglas-fir
nu1,154,0.02534301788137797,1,18,SNPV only,50% Douglas-fir
nu1,155,0.2143995442731611,1,18,SNPV only,50% Douglas-fir
nu1,156,1.0423587870841793,1,18,SNPV only,50% Douglas-fir
nu1,157,0.11065701217828812,1,18,SNPV only,50% Douglas-fir
nu1,158,0.00288356158385084,1,18,SNPV only,50% Douglas-fir
nu1,159,0.00121312499915509,1,18,SNPV only,50% Douglas-fir
nu1,160,0.00285009794139405,1,18,SNPV only,50% Douglas-fir
nu1,161,0.01549640501066504,1,18,SNPV only,50% Douglas-fir
nu1,162,0.10159578872945142,1,18,SNPV only,50% Douglas-fir
nu1,163,0.4427458811880792,1,18,SNPV only,50% Douglas-fir
nu1,164,0.16352275973925992,1,18,SNPV only,50% Douglas-fir
nu1,165,0.01127123724801334,1,18,SNPV only,50% Douglas-fir
nu1,166,0.0014760329381428,1,18,SNPV only,50% Douglas-fir
nu1,167,0.00270411134402571,1,18,SNPV only,50% Douglas-fir
nu1,168,0.01415552615363006,1,18,SNPV only,50% Douglas-fir
nu1,169,0.09451074263821348,1,18,SNPV only,50% Douglas-fir
nu1,170,0.4651534836490685,1,18,SNPV only,50% Douglas-fir
nu1,171,0.11307290575414324,1,18,SNPV only,50% Douglas-fir
nu1,172,0.00466925150345537,1,18,SNPV only,50% Douglas-fir
nu1,173,0.00361216325139043,1,18,SNPV only,50% Douglas-fir
nu1,174,0.01282374119571991,1,18,SNPV only,50% Douglas-fir
nu1,175,0.06751086831629535,1,18,SNPV only,50% Douglas-fir
nu1,176,0.2754832052582576,1,18,SNPV only,50% Douglas-fir
nu1,177,0.10720085100746078,1,18,SNPV only,50% Douglas-fir
nu1,178,0.00415867175327888,1,18,SNPV only,50% Douglas-fir
nu1,179,7.585368355038363e-4,1,18,SNPV only,50% Douglas-fir
nu1,180,0.00122374067554707,1,18,SNPV only,50% Douglas-fir
nu1,181,0.00611556771434284,1,18,SNPV only,50% Douglas-fir
nu1,182,0.04754394267794382,1,18,SNPV only,50% Douglas-fir
nu1,183,0.3114328574684312,1,18,SNPV only,50% Douglas-fir
nu1,184,0.32369171257667106,1,18,SNPV only,50% Douglas-fir
nu1,185,0.01945542075347069,1,18,SNPV only,50% Douglas-fir
nu1,186,0.00177003691384327,1,18,SNPV only,50% Douglas-fir
nu1,187,0.00207103241806212,1,18,SNPV only,50% Douglas-fir
nu1,188,0.00827507258276017,1,18,SNPV only,50% Douglas-fir
nu1,189,0.05095018062013034,1,18,SNPV only,50% Douglas-fir
nu1,190,0.24927067865750308,1,18,SNPV only,50% Douglas-fir
nu1,191,0.31176131343923513,1,18,SNPV only,50% Douglas-fir
nu1,192,0.02230857362734458,1,18,SNPV only,50% Douglas-fir
nu1,193,0.00100207449902351,1,18,SNPV only,50% Douglas-fir
nu1,194,8.390952574103435e-4,1,18,SNPV only,50% Douglas-fir
nu1,195,0.00260989824669535,1,18,SNPV only,50% Douglas-fir
nu1,196,0.01695262428713601,1,18,SNPV only,50% Douglas-fir
nu1,197,0.12056291946688766,1,18,SNPV only,50% Douglas-fir
nu1,198,0.5550337155537791,1,18,SNPV only,50% Douglas-fir
nu1,199,0.15412629282047444,1,18,SNPV only,50% Douglas-fir
nu1,200,0.00721764211853647,1,18,SNPV only,50% Douglas-fir
nu1,201,0.0021600184073137,1,18,SNPV only,50% Douglas-fir
nu2,1,0,1,18,SNPV only,50% Douglas-fir
nu2,2,0,1,18,SNPV only,50% Douglas-fir
nu2,3,0,1,18,SNPV only,50% Douglas-fir
nu2,4,0,1,18,SNPV only,50% Douglas-fir
nu2,5,0,1,18,SNPV only,50% Douglas-fir
nu2,6,0,1,18,SNPV only,50% Douglas-fir
nu2,7,0,1,18,SNPV only,50% Douglas-fir
nu2,8,0,1,18,SNPV only,50% Douglas-fir
nu2,9,0,1,18,SNPV only,50% Douglas-fir
nu2,10,0,1,18,SNPV only,50% Douglas-fir
nu2,11,0,1,18,SNPV only,50% Douglas-fir
nu2,12,0,1,18,SNPV only,50% Douglas-fir
nu2,13,0,1,18,SNPV only,50% Douglas-fir
nu2,14,0,1,18,SNPV only,50% Douglas-fir
nu2,15,0,1,18,SNPV only,50% Douglas-fir
nu2,16,0,1,18,SNPV only,50% Douglas-fir
nu2,17,0,1,18,SNPV only,50% Douglas-fir
nu2,18,0,1,18,SNPV only,50% Douglas-fir
nu2,19,0,1,18,SNPV only,50% Douglas-fir
nu2,20,0,1,18,SNPV only,50% Douglas-fir
nu2,21,0,1,18,SNPV only,50% Douglas-fir
nu2,22,0,1,18,SNPV only,50% Douglas-fir
nu2,23,0,1,18,SNPV only,50% Douglas-fir
nu2,24,0,1,18,SNPV only,50% Douglas-fir
nu2,25,0,1,18,SNPV only,50% Douglas-fir
nu2,26,0,1,18,SNPV only,50% Douglas-fir
nu2,27,0,1,18,SNPV only,50% Douglas-fir
nu2,28,0,1,18,SNPV only,50% Douglas-fir
nu2,29,0,1,18,SNPV only,50% Douglas-fir
nu2,30,0,1,18,SNPV only,50% Douglas-fir
nu2,31,0,1,18,SNPV only,50% Douglas-fir
nu2,32,0,1,18,SNPV only,50% Douglas-fir
nu2,33,0,1,18,SNPV only,50% Douglas-fir
