Species,Year,Column1,rep,pdoug,sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,sigma
S,1,1.0351705005382505,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,2,1.2196316358422017,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,3,0.2024196478681564,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,4,0.05393038962554242,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,5,0.017888392338432455,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,6,0.007752140991781839,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,7,0.0064225816240042,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,8,0.008252828716719188,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,9,0.08042219946969831,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,10,1.3630076202401777,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,11,1.316828821394052,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,12,0.06261265232323426,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,13,0.03239305142647903,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,14,0.00984527224936197,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,15,0.005639448282207878,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,16,0.001577573333950925,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,17,0.0007757959692811959,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,18,0.0010012333918645916,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,19,0.005138559472825103,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,20,0.2780695523913696,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,21,1.0309439029252592,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,22,0.8379116938679421,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,23,0.20848622020675175,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,24,0.025301080056396252,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,25,0.009597262198141058,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,26,0.0032288559757120746,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,27,0.0013684302859648463,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,28,0.0011479327034007163,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,29,0.010486763211449517,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,30,1.1417720578099269,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,31,1.1645865918049805,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,32,1.3205339729606846,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,33,0.2147744482932789,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,34,0.049600380245311264,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,35,0.01610634996277832,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,36,0.008038738399753767,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,37,0.003904162696886682,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,38,0.002508719091806206,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,39,0.0019118966323350664,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,40,0.00781655351288457,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,41,0.10829994570259031,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
S,42,1.5322677979157568,1,18,27.321083249560232,27.321083249560232,28.282054057541178,28.282054057541178,35.765723798132946,0.07064355537108136,0.5
