sS,sM,phi,rho,ll,round,type,iter
762.4586992301578,0.10590671094117111,50.55635905474854,0.6027746469458841,-647.9094777139306,1,best,1
762.4586992301578,0.3337283452167304,50.55635905474854,0.6027746469458841,-643.6831625912623,1,best,2
762.4586992301578,1.0516293765648466,50.55635905474854,0.6027746469458841,-637.3903798717479,1,best,3
762.4586992301578,1.0516293765648466,50.55635905474854,0.6027746469458841,-637.3903798717479,1,best,4
762.4586992301578,10.442438782453406,50.55635905474854,0.6027746469458841,-600.8772199811868,1,best,5
762.4586992301578,32.905731694670344,50.55635905474854,0.6027746469458841,-554.7381486244594,1,best,6
762.4586992301578,103.69102476148163,50.55635905474854,0.6027746469458841,-536.906098354009,1,best,7
762.4586992301578,103.69102476148163,50.55635905474854,0.6027746469458841,-536.906098354009,1,best,8
762.4586992301578,103.69102476148163,50.55635905474854,0.6027746469458841,-536.906098354009,1,best,9
762.4586992301578,103.69102476148163,10.077422079877637,0.6027746469458841,-515.8759067243438,1,best,10
762.4586992301578,103.69102476148163,11.75813453397825,0.6027746469458841,-513.1197559936132,1,best,11
762.4586992301578,103.69102476148163,13.719156211110157,0.6027746469458841,-512.6259583319593,1,best,12
762.4586992301578,103.69102476148163,16.007237083479914,0.6027746469458841,-505.96385249737114,1,best,13
762.4586992301578,103.69102476148163,16.007237083479914,0.6027746469458841,-505.96385249737114,1,best,14
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,15
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,16
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,17
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,18
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,19
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,20
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,21
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,22
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,23
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,24
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,25
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,26
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,27
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,28
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,29
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,30
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,31
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,32
762.4586992301578,103.69102476148163,21.791861481622373,0.6027746469458841,-504.62512451681715,1,best,33
762.4586992301578,103.69102476148163,21.791861481622373,0.10095045322700134,-486.48491799416115,1,best,34
762.4586992301578,103.69102476148163,21.791861481622373,0.10095045322700134,-486.48491799416115,1,best,35
762.4586992301578,103.69102476148163,21.791861481622373,0.10095045322700134,-486.48491799416115,1,best,36
762.4586992301578,103.69102476148163,21.791861481622373,0.10095045322700134,-486.48491799416115,1,best,37
762.4586992301578,103.69102476148163,21.791861481622373,0.10095045322700134,-486.48491799416115,1,best,38
762.4586992301578,103.69102476148163,21.791861481622373,0.10095045322700134,-486.48491799416115,1,best,39
762.4586992301578,103.69102476148163,21.791861481622373,0.10095045322700134,-486.48491799416115,1,best,40
762.4586992301578,103.69102476148163,21.791861481622373,0.10095045322700134,-486.48491799416115,1,best,41
762.4586992301578,103.69102476148163,21.791861481622373,0.10095045322700134,-486.48491799416115,1,best,42
762.4586992301578,103.69102476148163,21.791861481622373,0.10095045322700134,-486.48491799416115,1,best,43
762.4586992301578,103.69102476148163,21.791861481622373,0.10095045322700134,-486.48491799416115,1,best,44
762.4586992301578,103.69102476148163,21.791861481622373,0.10095045322700134,-486.48491799416115,1,best,45
762.4586992301578,103.69102476148163,10.099902737525547,0.10095045322700134,-472.5245084633173,1,best,46
762.4586992301578,103.69102476148163,10.099902737525547,0.10095045322700134,-472.5245084633173,1,best,47
762.4586992301578,103.69102476148163,15.031587619197827,0.10095045322700134,-464.9515103335727,1,best,48
762.4586992301578,103.69102476148163,15.031587619197827,0.10095045322700134,-464.9515103335727,1,best,49
762.4586992301578,103.69102476148163,15.031587619197827,0.10095045322700134,-464.9515103335727,1,best,50
762.4586992301578,103.69102476148163,15.031587619197827,0.10095045322700134,-464.9515103335727,1,best,51
762.4586992301578,103.69102476148163,15.031587619197827,0.10095045322700134,-464.9515103335727,1,best,52
762.4586992301578,103.69102476148163,15.031587619197827,0.10095045322700134,-464.9515103335727,1,best,53
762.4586992301578,103.69102476148163,15.031587619197827,0.10095045322700134,-464.9515103335727,1,best,54
762.4586992301578,103.69102476148163,15.031587619197827,0.10095045322700134,-464.9515103335727,1,best,55
762.4586992301578,103.69102476148163,15.031587619197827,0.10095045322700134,-464.9515103335727,1,best,56
762.4586992301578,103.69102476148163,15.031587619197827,0.10095045322700134,-464.9515103335727,1,best,57
