"","xvals","yvals","num","distance","ref"
"1",-25.5,-14.7224318643355,1,0,1
"2",-25.5,-12.9903810567666,2,1.73205080756888,1
"3",-25.5,-11.2583302491977,3,3.46410161513776,1
"4",-25.5,-9.52627944162882,4,5.19615242270663,1
"5",-24,-15.5884572681199,5,1.73205080756888,1
"6",-24,-13.856406460551,6,1.73205080756888,1
"7",-24,-12.1243556529821,7,3,1
"8",-24,-10.3923048454133,8,4.58257569495584,1
"9",-24,-8.66025403784439,9,6.2449979983984,1
"10",-22.5,-16.4544826719043,10,3.46410161513775,1
"11",-22.5,-14.7224318643355,11,3,1
"12",-22.5,-12.9903810567666,12,3.46410161513775,1
"13",-22.5,-11.2583302491977,13,4.58257569495584,1
"14",-22.5,-9.52627944162882,14,6,1
"15",-22.5,-7.79422863405995,15,7.54983443527075,1
"16",-21,-17.3205080756888,16,5.19615242270663,1
"17",-21,-15.5884572681199,17,4.58257569495584,1
"18",-21,-13.856406460551,18,4.58257569495584,1
"19",-21,-12.1243556529821,19,5.19615242270663,1
"20",-21,-10.3923048454133,20,6.2449979983984,1
"21",-21,-8.66025403784439,21,7.54983443527075,1
"22",-21,-6.92820323027551,22,9,1
"23",-19.5,-16.4544826719043,23,6.2449979983984,1
"24",-19.5,-14.7224318643355,24,6,1
"25",-19.5,-12.9903810567666,25,6.2449979983984,1
"26",-19.5,-11.2583302491977,26,6.92820323027551,1
"27",-19.5,-9.52627944162883,27,7.93725393319377,1
"28",-19.5,-7.79422863405995,28,9.16515138991168,1
"29",-18,-15.5884572681199,29,7.54983443527075,1
"30",-18,-13.856406460551,30,7.54983443527075,1
"31",-18,-12.1243556529821,31,7.93725393319377,1
"32",-18,-10.3923048454133,32,8.66025403784439,1
"33",-18,-8.66025403784439,33,9.64365076099295,1
"34",-16.5,-14.7224318643355,34,9,1
"35",-16.5,-12.9903810567666,35,9.16515138991168,1
"36",-16.5,-11.2583302491977,36,9.64365076099295,1
"37",-16.5,-9.52627944162882,37,10.3923048454133,1
"38",16.5,9.52627944162883,38,48.4974226119286,1
"39",16.5,11.2583302491977,39,49.386232899463,1
"40",16.5,12.9903810567666,40,50.3189825016365,1
"41",16.5,14.7224318643355,41,51.2932744129286,1
"42",18,8.66025403784439,42,49.386232899463,1
"43",18,10.3923048454133,43,50.2294734194974,1
"44",18,12.1243556529821,44,51.1175116765282,1
"45",18,13.856406460551,45,52.0480547186924,1
"46",18,15.5884572681199,46,53.0188645672463,1
"47",19.5,7.79422863405994,47,50.3189825016365,1
"48",19.5,9.52627944162882,48,51.1175116765282,1
"49",19.5,11.2583302491977,49,51.9615242270663,1
"50",19.5,12.9903810567666,50,52.8488410468952,1
"51",19.5,14.7224318643355,51,53.777318638995,1
"52",19.5,16.4544826719043,52,54.744862772684,1
"53",21,6.92820323027551,53,51.2932744129286,1
"54",21,8.66025403784439,54,52.0480547186924,1
"55",21,10.3923048454133,55,52.8488410468952,1
"56",21,12.1243556529821,56,53.6935750346352,1
"57",21,13.856406460551,57,54.5802161959808,1
"58",21,15.5884572681199,58,55.5067563455117,1
"59",21,17.3205080756888,59,56.471231613982,1
"60",22.5,7.79422863405995,60,53.0188645672463,1
"61",22.5,9.52627944162882,61,53.777318638995,1
"62",22.5,11.2583302491977,62,54.5802161959808,1
"63",22.5,12.9903810567666,63,55.4256258422041,1
"64",22.5,14.7224318643355,64,56.3116329012043,1
"65",22.5,16.4544826719043,65,57.2363520850167,1
"66",24,8.66025403784439,66,54.744862772684,1
"67",24,10.3923048454133,67,55.5067563455117,1
"68",24,12.1243556529821,68,56.3116329012043,1
"69",24,13.856406460551,69,57.157676649773,1
"70",24,15.5884572681199,70,58.0430874437258,1
"71",25.5,9.52627944162882,71,56.471231613982,1
"72",25.5,11.2583302491977,72,57.2363520850167,1
"73",25.5,12.9903810567666,73,58.0430874437258,1
"74",25.5,14.7224318643355,74,58.8897274573418,1
"75",-25.5,-14.7224318643355,1,1.73205080756888,2
"76",-25.5,-12.9903810567666,2,0,2
"77",-25.5,-11.2583302491977,3,1.73205080756888,2
"78",-25.5,-9.52627944162882,4,3.46410161513776,2
"79",-24,-15.5884572681199,5,3,2
"80",-24,-13.856406460551,6,1.73205080756888,2
"81",-24,-12.1243556529821,7,1.73205080756888,2
"82",-24,-10.3923048454133,8,3,2
"83",-24,-8.66025403784439,9,4.58257569495584,2
"84",-22.5,-16.4544826719043,10,4.58257569495584,2
"85",-22.5,-14.7224318643355,11,3.46410161513775,2
"86",-22.5,-12.9903810567666,12,3,2
"87",-22.5,-11.2583302491977,13,3.46410161513776,2
"88",-22.5,-9.52627944162882,14,4.58257569495584,2
"89",-22.5,-7.79422863405995,15,6,2
"90",-21,-17.3205080756888,16,6.2449979983984,2
"91",-21,-15.5884572681199,17,5.19615242270663,2
"92",-21,-13.856406460551,18,4.58257569495584,2
"93",-21,-12.1243556529821,19,4.58257569495584,2
"94",-21,-10.3923048454133,20,5.19615242270663,2
"95",-21,-8.66025403784439,21,6.2449979983984,2
"96",-21,-6.92820323027551,22,7.54983443527075,2
"97",-19.5,-16.4544826719043,23,6.92820323027551,2
"98",-19.5,-14.7224318643355,24,6.2449979983984,2
"99",-19.5,-12.9903810567666,25,6,2
"100",-19.5,-11.2583302491977,26,6.2449979983984,2
